battle_id,battle_name,state,county,start_date,end_date,casualties_min,casualties_max,casualties_text,cwsac_id
AL001,Day's Gap,AL,Cullman County,1863-04-30,1863-04-30,,,"23 US, 65 CS",AL001
AL002,Athens,AL,Limestone County,1864-01-26,1864-01-26,,,"20 US, 30 CS",AL002
AL003,Mobile Bay,AL,Mobile and Baldwin Counties,1864-08-02,1864-08-23,,,"327 US, 1,500 CS",AL003
AL004,Decatur,AL,Morgan and Limestone Counties,1864-10-26,1864-10-29,,,"155 US, 200 CS",AL004
AL005,Spanish Fort,AL,Baldwin County,1865-03-27,1865-04-08,,,"657 US, 741 CS",AL005
AL006,Fort Blakely,AL,Baldwin County,1865-04-02,1865-04-09,,,"775 US, 3,700 (including 3,200 prisoners) CS",AL006
AL007,Selma,AL,Dallas County,1865-04-02,1865-04-02,,,"359 US, 2,700 CS",AL007
AR001,Pea Ridge,AR,Benton County,1862-03-06,1862-03-08,,,"1,384 US, 2,000 CS",AR001
AR002,St. Charles,AR,Arkansas County,1862-06-17,1862-06-17,,,"160 US, 40 CS",AR002
AR003,Hill's Plantation,AR,Woodruff County,1862-07-07,1862-07-07,,,"63 US, 250 CS",AR003
AR004,Cane Hill,AR,Washington County,1862-11-28,1862-11-28,,,"41 US, 45 CS",AR004
AR005,Prairie Grove,AR,Washington County,1862-12-07,1862-12-07,,,"1,251 US, 1,317 CS",AR005
AR006,Arkansas Post,AR,Arkansas County,1863-01-09,1863-01-11,,,"1,092 US, 5,004 CS",AR006
AR007,Chalk Bluff,AR,Clay County,1863-05-01,1863-05-02,0,100,fewer than 100,AR007
AR008,Helena,AR,Phillips County,1863-07-04,1863-07-04,,,"239 US, 1,636 CS",AR008
AR009,Devil's Backbone,AR,Sebastian County,1863-09-01,1863-09-01,,,"14 US, 17 CS",AR009
AR010,Bayou Fourche (Little Rock),AR,Pulaski County,1863-09-10,1863-09-10,,,"72 US, 64 CS",AR010
AR011,Pine Bluff,AR,Jefferson County,1863-10-25,1863-10-25,,,"56, including 17 freedmen, US, 40 CS",AR011
AR012,Elkin's Ferry,AR,Clark and Nevada Counties,1864-04-03,1864-04-04,,,"26 US, 29 CS",AR012
AR013,Prairie D'Ane,AR,Nevada County,1864-04-10,1864-04-13,,,"100 US, 50 CS",AR013
AR014,Poison Spring,AR,Ouachita County,1864-04-18,1864-04-18,,,"301 US, 114 CS",AR014
AR015,Marks' Mills,AR,Cleveland County,1864-04-25,1864-04-25,,,"1,500 US, 293 CS",AR015
AR016,Jenkins' Ferry,AR,Grant County,1864-04-30,1864-04-30,,,"700 US, 1,000 CS",AR016
AR017,Ditch Bayou (Old River Lake),AR,Chicot County,1864-06-06,1864-06-06,,,"133 US, 37 CS",AR017
CO001,Sand Creek,CO,Kiowa and/or Cheyenne Counties,1864-11-29,1864-11-29,,,"48 US, 150 Southern Cheyenne and Southern Arapaho",CO001
DC001,Fort Stevens,DC,District of Columbia,1864-07-11,1864-07-12,,,"373 US, 500 CS",DC001
FL001,Santa Rosa Island,FL,Escambia County,1861-10-09,1861-10-09,,,"67 US, 87 CS",FL001
FL002,Tampa,FL,Tampa,1862-06-30,1862-07-01,0,0,none,FL002
FL003,St. Johns Bluff,FL,Duval County,1862-10-01,1862-10-03,,,unknown,FL003
FL004,Fort Brooke,FL,Tampa,1863-10-16,1863-10-18,,,"16 US, unknown CS",FL004
FL005,Olustee,FL,Baker County,1864-02-20,1864-02-20,,,"1,861 US, 946 CS",FL005
FL006,Natural Bridge,FL,Leon County,1865-03-06,1865-03-06,,,"148 US, 25 CS",FL006
GA001,Fort Pulaski,GA,Chatham County,1862-04-10,1862-04-11,,,"1 US, 1 CS",GA001
GA002,Fort McAllister I,GA,Bryan County,1863-01-27,1863-03-03,,,"0 US, 1 CS",GA002
GA003,Davis' Cross Roads,GA,Dade and Walker Counties,1863-09-10,1863-09-11,,,unknown,GA003
GA004,Chickamauga,GA,Catoosa and Walker Counties,1863-09-18,1863-09-20,,,"16,170 US, 18,454 CS",GA004
GA005,Ringgold Gap,GA,Catoosa County,1863-11-27,1863-11-27,,,"507 US, 221 CS",GA005
GA006,Dalton I,GA,Whitfield County and Dalton,1864-02-22,1864-02-27,,,"289 US, 140 CS",GA006
GA007,Rocky Face Ridge,GA,Whitfield County and Dalton,1864-05-07,1864-05-13,,,"837 US, 600 CS",GA007
GA008,Resaca,GA,Whitfield and Gordon Counties,1864-05-13,1864-05-15,,,"2,747 US, 2,800 CS",GA008
GA009,Adairsville,GA,Bartow and Gordon Counties,1864-05-17,1864-05-17,,,"200 US, unknown CS",GA009
GA010,New Hope Church,GA,Paulding County,1864-05-25,1864-05-26,,,"665 US, 350 CS",GA010
GA011,Dallas,GA,Paulding County,1864-05-28,1864-05-28,,,"380 US, 1,000-1,500 CS",GA011
GA012,Pickett's Mill,GA,Paulding County,1864-05-27,1864-05-27,,,"1,600 US, 450 CS",GA012
GA013,Lost Mountain-Brushy Mountain Line,GA,Paulding and Cobb Counties,1864-06-09,1864-06-18,,,unknown,GA013
GA014,Kolb's Farm,GA,Cobb County,1864-06-22,1864-06-22,,,"350 US, 1,000 CS",GA014
GA015,Kennesaw Mountain,GA,Cobb County,1864-06-27,1864-06-27,,,"3,000 US, 1,000 CS",GA015
GA016,Peachtree Creek,GA,Fulton County,1864-07-20,1864-07-20,,,"1,710 US, 4,796 CS",GA016
GA017,Atlanta,GA,Fulton and DeKalb Counties,1864-07-22,1864-07-22,,,"3,641 US, 8,499 CS",GA017
GA018,Ezra Church,GA,Fulton County,1864-07-28,1864-07-28,,,"700 US, 4,642 CS",GA018
GA019,Utoy Creek,GA,Fulton County,1864-08-05,1864-08-07,,,"400 US, 225 CS",GA019
GA020,Dalton II,GA,Whitfield County and Dalton,1864-08-14,1864-08-15,,,unknown,GA020
GA021,Lovejoy's Station,GA,Clayton County,1864-08-20,1864-08-20,,,"237 US, 240 CS",GA021
GA022,Jonesboro,GA,Clayton County,1864-08-31,1864-09-01,,,"1,149 US, 2,000 CS",GA022
GA023,Allatoona,GA,Bartow County,1864-10-05,1864-10-05,,,"706 US, 897 CS",GA023
GA024,Dalton III,GA,Whitfield County and Dalton,1864-10-13,1864-10-13,,,"751 prisoners US, 0 CS",GA024
GA025,Griswoldville,GA,Twiggs and Jones Counties,1864-11-22,1864-11-22,,,"62 US, 650 CS",GA025
GA026,Buck Head Creek,GA,Jenkins County,1864-11-28,1864-11-28,,,"46 US, 600 CS",GA026
GA027,Waynesborough,GA,Burke County,1864-12-04,1864-12-04,,,"190 US, 250 CS",GA027
GA028,Fort McAllister II,GA,Bryan County,1864-12-13,1864-12-13,,,"134 US, 230 CS",GA028
ID001,Bear River,ID,Franklin County,1863-01-29,1863-01-29,,,"65 US, 250 Shoshoni",ID001
IN001,Corydon,IN,Harrison County,1863-07-09,1863-07-09,,,"360 US, 51 CS",IN001
