battle,state,location
AL001,AL,Cullman County
AL001,AL,Morgan County
AL002,AL,Limestone County
AL002,AL,Morgan County
AL002,TN,Giles County
AL003,AL,Mobile County
AL003,AL,Baldwin County
AL004,AL,Lawrence County
AL004,AL,Limestone County
AL004,AL,Morgan County
AL005,AL,Baldwin County
AL006,AL,Baldwin County
AL007,AL,Dallas County
AR001,AR,Benton County
AR002,AR,Arkansas County
AR003,AR,Woodruff County
AR004,AR,Washington County
AR005,AR,Washington County
AR006,AR,Arkansas County
AR007,AR,Clay County
AR008,AR,Phillips County
AR009,AR,Sebastian County
AR010,AR,Pulaski County
AR011,AR,Jefferson County
AR012,AR,Nevada County
AR012,AR,Clark County
AR013,AR,Nevada County
AR014,AR,Ouachita County
AR015,AR,Cleveland County
AR016,AR,Grant County
AR017,AR,Chicot County
AR018,AR,Pulaski County
CO001,CO,Kiowa County
DC001,DC,District of Columbia
FL001,FL,Escambia County
FL002,FL,City of Tampa
FL003,FL,Duval County
FL004,FL,City of Tampa
FL005,FL,Baker County
FL006,FL,Leon County
FL006,FL,Wakulla County
GA001,GA,Chatham County
GA001,SC,Jasper County
GA002,GA,Bryan County
GA002,GA,Chatham County
GA003,GA,Dade County
GA003,GA,Catoosa County
GA003,GA,Walker County
GA004,GA,Catoosa County
GA004,GA,Walker County
GA004,TN,City of Chattanooga
GA005,GA,Catoosa County
GA006,GA,Whitfield County
GA006,GA,Catoosa County
GA007,GA,Whitfield County
GA007,GA,Catoosa County
GA007,GA,Walker County
GA007,GA,Gordon County
GA008,GA,Gordon County
GA008,GA,Whitfield County
GA009,GA,Gordon County
GA009,GA,Bartow County
GA010,GA,Paulding County
GA011,GA,Paulding County
GA012,GA,Paulding County
GA013,GA,Cobb County
GA013,GA,Fulton County
GA013,GA,Paulding County
GA014,GA,Cobb County
GA015,GA,Cobb County
GA016,GA,Fulton County
GA017,GA,Dekalb County
GA017,GA,Fulton County
GA018,GA,Fulton County
GA019,GA,Fulton County
GA020,GA,Whitfield County
GA020,GA,Gordon County
GA021,GA,Clayton County
GA021,GA,Henry County
GA022,GA,Clayton County
GA023,GA,Bartow County
GA023,GA,Cobb County
GA025,GA,Jones County
GA025,GA,Twiggs County
GA026,GA,Burke County
GA026,GA,Jenkins County
GA027,GA,Burke County
GA028,GA,Bryan County
GA028,GA,Chatham County
ID001,ID,Franklin County
IN001,IN,Harrison County
IN001,KY,Meade County
KS001,KS,Douglas County
KS002,KS,Cherokee County
KS003,KS,Linn County
KS004,KS,Linn County
KY001,KY,Knox County
KY002,KY,Laurel County
KY003,KY,Floyd County
KY004,KY,Hart County
KY005,KY,Floyd County
KY006,KY,Pulaski County
KY006,KY,Wayne County
KY007,KY,Madison County
KY008,KY,Hart County
KY009,KY,Boyle County
KY010,KY,McCracken County
KY011,KY,Harrison County
LA001,LA,Plaquemines Parish
LA002,LA,St. Bernard Parish
LA002,LA,Orleans Parish
LA002,LA,Plaquemines Parish
LA002,LA,Jefferson Parish
LA003,LA,East Baton Rouge Parish
LA003,LA,West Baton Rouge Parish
LA004,LA,Ascension Parish
LA005,LA,Assumption Parish
LA005,LA,Lafourche Parish
LA006,LA,St. Mary Parish
LA006,LA,St. Martin Parish
LA007,LA,St. Mary Parish
LA008,LA,Lafayette Parish
LA009,LA,East Baton Rouge Parish
LA010,LA,East Baton Rouge Parish
LA010,LA,East Feliciana Parish
LA011,LA,Madison Parish
LA011,MS,Warren County
LA012,LA,Lafourche Parish
LA012,LA,Assumption Parish
LA013,LA,Ascension Parish
LA014,LA,East Carroll Parish
LA014,MS,Isaquena County
LA015,LA,Ascension Parish
LA015,LA,Assumption Parish
LA016,LA,Point Coupee Parish
LA016,LA,St. Landy Parish
LA017,LA,Avoyelles Parish
LA018,LA,DeSoto Parish
LA019,LA,DeSoto Parish
LA019,LA,Sabine Parish
LA020,LA,Red River Parish
LA020,LA,Natchitoches Parish
LA021,LA,Natchitoches Parish
LA022,LA,Avoyelles Parish
LA023,LA,Avoyelles Parish
LA023,LA,Point Coupee Parish
MD001,MD,Washington County
