cwsac_id,battle_name,start_date,end_date,theater_code,campaign_code,result,cwss_url,partof_cwss,operation,forces_text,casualties_text,results_text,preservation,significance,cwsac_url,other_names,partof_cwsac,cws2_url,study_area,core_area,potnr_boundary,partof_cws2,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,significance_jim,significance_ed,significance_bill,aad_url,battle_type,partof_aad,lat,long,state,strength_mean,strength_var,casualties_kwm_mean,casualties_kwm_var,comment
AL001,Day's Gap,1863-04-30,1863-04-30,MW,MW63-03,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL001,TRUE,0,"Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry [US]; three regiments [CS]",88 total (US 23; CS 65),"Union victory, although the raid ultimately failed.",III.3,C,http://www.nps.gov/abpp/battles/al001.htm,Sand Mountain,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,5410.35,1084.76,2933.02,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,C,http://aad.archives.gov/aad/record-detail.jsp?rid=320&dt=295,Action,TRUE,34.3096,-87.011,AL,,,88,0.16666666666666666,
AL002,Athens,1864-01-26,1864-01-26,MW,MW64-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL002,TRUE,0,9th Illinois Mounted Infantry [US]; 1st Alabama Cavalry [CS],50 total (US 20; CS 30),Union victory (The Confederate force failed in its attempt to take Athens.),IV.1,D,http://www.nps.gov/abpp/battles/al002.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,21919.82,2274.85,2998.41,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=314&dt=295,Attack,TRUE,34.8033,-86.9722,AL,800,1666.6666666666667,50,16.666666666666668,
AL003,Mobile Bay,1864-08-02,1864-08-23,MW,MW64-09,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL003,TRUE,0,"Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile [US]; Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison [CS]","1,822 (US 322; CS 1,500)",Union victory,I.1,A,http://www.nps.gov/abpp/battles/al003.htm,Passing of Forts Morgan and Gaines,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,36916.74,16130.48,34927.42,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=323&dt=295,Naval Operations,TRUE,30.241,-88.053,AL,,,1827,833.4166666666667,
AL004,Decatur,1864-10-26,1864-10-29,MW,MW64-13,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL004,TRUE,0,"Garrison and other troops sent there (approx. 5,000 men) [US]; Army of Tennessee [CS]",605 total (US 155; CS 450),Union victory (Confederate forces could not cross the river.),IV.2,C,http://www.nps.gov/abpp/battles/al004.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,14623.51,1148.87,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=3&dt=295,Demonstration,TRUE,34.614,-86.986,AL,,,355,833.4166666666667,
AL005,Spanish Fort,1865-03-27,1865-04-08,MW,MW65-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL005,TRUE,0,XVI and XIII Corps [US]; Spanish Fort Garrison [CS],"1,401 (US 657; CS 744)",Union victory,IV.2,B,http://www.nps.gov/abpp/battles/al005.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,3742.16,2282.27,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,C,http://aad.archives.gov/aad/record-detail.jsp?rid=2&dt=295,Siege & Capture,TRUE,30.6843,-87.9164,AL,,,1398,0.16666666666666666,
AL006,Fort Blakely,1865-04-02,1865-04-09,MW,MW65-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL006,TRUE,0,XIII and XVI Corps [US]; Fort Blakely Garrison [CS],"Total 4,475. April 9 only 3,529 (US 629; CS 2,900)",Union victory (Fort Blakely surrendered.),III.1,A,http://www.nps.gov/abpp/battles/al006.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,6061.92,3743.28,4640.71,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,A,B,http://aad.archives.gov/aad/record-detail.jsp?rid=1&dt=295,Siege & Capture,TRUE,30.7424,-87.927,AL,2e4,166666.66666666666,4475,833.4166666666667,
AL007,Selma,1865-04-02,1865-04-02,MW,MW65-03,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AL007,TRUE,0,"Two cavalry divisions [US]; troops in city (approx. 5,000 men) [CS]","3,019 total (US 319; CS 2,700)",Union victory,IV.2,B,http://www.nps.gov/abpp/battles/al007.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,16158.29,4631.72,0,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=321&dt=295,Engagement,TRUE,32.424,-87.0237,AL,18500,84166.66666666666,3059,833.4166666666667,
AR001,Pea Ridge,1862-03-06,1862-03-08,TM,TM62-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR001,TRUE,0,Army of the Southwest [US]; Army of the West [CS],"5,949 total (US 1,349; CS 4,600)",Union victory,III.1,A,http://www.nps.gov/abpp/battles/ar001.htm,Elkhorn Tavern,TRUE,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,9834.22,2078.97,8063.74,TRUE,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,A,,http://aad.archives.gov/aad/record-detail.jsp?rid=9&dt=295,Battle,TRUE,36.4532,-94.0158,AR,24250,83341.66666666666,3384,83333.41666666666,
AR002,Saint Charles,1862-06-17,1862-06-17,TM,TM62-03,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR002,TRUE,0,46th Indiana and Union Gunboat [US]; fifty men and C.S. boats [CS],290 total (US 135; CS 155),Union victory,III.3,C,http://www.nps.gov/abpp/battles/ar002.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,1830.99,853.69,1735.05,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,D,C,http://aad.archives.gov/aad/record-detail.jsp?rid=6&dt=295,Engagement,TRUE,34.3715467,-91.126083,AR,,,200,16.666666666666668,
AR003,Hill's Plantation,1862-07-07,1862-07-07,TM,TM62-04,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=AR003,TRUE,0,"1st and 2nd Brigade, 1st Division, Army of the Southwest [US]; unknown [CS]",308 total (US 63; CS 245),Union victory,III.4,D,http://www.nps.gov/abpp/battles/ar003.htm,Cache River; Cotton Plant; Round Hill,TRUE,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,3528.55,1025.92,3528.55,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=10&dt=295,Action,TRUE,35.0365,-91.293,AR,,,313,8.416666666666668,
