battle_id,start_date,end_date,monthonly,location,state,battle_name
1,1861-4-12,1861-4-13,False,"Fort Sumter, S.C.",SC,"Battery E, 1st U. S. Artillery. In saluting the flag before the evacuation on April 15th, Private Daniel Hough was killed and three men wounded by the premature explosion of a gun."
2,1861-4-18,1861-4-18,False,"Harper's Ferry, Va.",VA,Detachment of ordnance men.
3,1861-4-19,1861-4-19,False,"Streets of Baltimore, Md.",MD,6th Massachusetts State Militia and 26th Pennsylvania Volunteers.
4,1861-5-10,1861-5-10,False,"Gamp Jackson, Mo.",MO,"1st, 3d, and 4th. Missouri Reserve Corps and 3d Missouri Volunteers."
5,1861-5-10,1861-5-10,False,"St. Louis, Mo. (corner Fifth and Walnut Streets)",MO,5th Missouri U. S. Reserve Corps.
6,1861-6-1,1861-6-30,True,"Fairfax Court-house, Va.",VA,"Company B, lid U. S. Cavalry."
7,1861-6-3,1861-6-3,False,"Phillippi, West Va.",WV,"1st West Virginia, 16th Ohio, 7th and 9th Indiana, and 14th Ohio Volunteers."
8,1861-6-10,1861-6-10,False,"Great Bethel, Va,",VA," 1st, 2d, 3d, 5th, and 7th New York, 4th Massachusetts Volunteers, and a detachment of 2d U. S. Artillery."
9,1861-6-11,1861-6-11,False,"Romney, West Va.",WV,11th Indiana Volunteers.
10,1861-6-17,1861-6-17,False,"Vienna, Va.",VA,1st Ohio Volunteers.
11,1861-6-17,1861-6-17,False,"Booneville, Mo.",MO,"2d Missouri (three months), Batteries H and L, 1st Missouri Light Artillery, Volunteers."
12,1861-6-17,1861-6-17,False,"Edward's Ferry, Va.",VA,1st Pennsylvania Volunteers (300 men).
13,1861-6-17,1861-6-17,False,"Independence, Mo.",MO,Detachment of Missouri Volunteers.
14,1861-6-17,1861-6-17,False,"New Creek, West Va.",WV,Local Militia.
15,1861-6-18,1861-6-18,False,"Camp Cole, Mo.",MO,Union Home Guards (800 men).
16,1861-6-26,1861-6-26,False,"Patterson Creek, Va. (also called Kelly's Island).",VA,11th Indiana Volunteers.
17,1861-6-27,1861-6-27,False,"Mathias Point, Va.",VA,Craws of U. S. Gunboats Pawnee and Freeborn.
18,1861-7-2,1861-7-2,False,"Falling Waters (also called Haynesville and Martinsburg), Md.",MD,"1st Wisconsin and 11th Pennsylvania Volunteers, advance of Brig. General George H. Thomas's command."
19,1861-7-5,1861-7-5,False,"Carthage (also called Dry Forks), Mo.",MO,"3d and 5th Missouri (three months), and Battery of Missouri Artillery Volunteers."
20,1861-7-5,1861-7-5,False,"Newport News, Va.",VA,9th New York (one Company).
21,1861-7-6,1861-7-6,False,"Middle Creek Fork, West Va.",WV,3d Ohio Volunteers (one Company).
22,1861-7-7,1861-7-7,False,"Great Falls, Va.",VA,8th New York Volunteers.
23,1861-7-8,1861-7-8,False,"Laurel Hill (also named Bealington), West Va.",WV,14th Ohio and 9th Indiana Volunteers.
24,1861-7-1,1861-7-31,True,"Monroe Station, Mo.",MO,16th Illinois and 3d Iowa Volunteers and Hannibal Home Guards.
25,1861-7-11,1861-7-11,False,"Rich Mountain, West Va.",WV,"8th, 10th, and 18th Indiana and 19th Ohio Volunteers."
26,1861-7-12,1861-7-12,False,"Barboursville (also designated Bed House), West Va.",WV,2d Kentucky Volunteers.
27,1861-7-12,1861-7-12,False,"Beverly, West Va.",WV,4th and 9th Ohio Volunteers.
28,1861-7-14,1861-7-14,False,"Carrick's Ford, West Va.",WV,"14th Ohio, 9th and 7th Indiana Volunteers."
29,1861-7-1,1861-7-31,True,"Millsville or Wentzville (North Mo. R.R.), Mo.",MO,8th Missouri Volunteers.
30,1861-7-17,1861-7-17,False,"Pulton, Missouri.",MO,3d Missouri Reserves (four hundred men).
31,1861-7-17,1861-7-17,False,"Scarytown, West Va.",WV,"2d Kentucky, 12th and 21st Ohio Volunteers, and 1st Ohio Battery."
32,1861-7-17,1861-7-17,False,"Martinsburg, Mo.",MO,1st Missouri Reserves (one Company).
33,1861-7-17,1861-7-17,False,"Bunker Hill, Va.",VA,Detachment of General Patterson's command.
34,1861-7-18,1861-7-19,False,"Harrisonville and Parkersville, Mo.",MO,Van Horn's Battalion (Missouri) Cass County Horns Guards.
35,1861-7-18,1861-7-18,False,"Blackburn's Ford, Va.",VA,"1st Massachusetts, 2d and 3d Michigan, 12th New York Volunteers, detachment of 2d U. S. Cavalry, and Battery E, 3d U. S. Artillery."
36,1861-7-1,1861-7-31,True,"Bull Ran (also Manassas), Va.",VA,"Infantry, Volunteers, or Militia : 2d Maine, 2d New Hampshire, 2d Vermont, 1st, 4th, and 5th Massachusetts, 1st and 2d Rhode Island, 1st, 2d, and 3d Connecticut, 8th, 11th, 12th, 13th, 16th, 18th, 27th, 29th, 31st, 32d, 35th, 38th, and 39th New York Volunteers, 2d, 8th, 14th, 63th, 71st, and 79th New York Militia, 27th Pennsylvania Volunteers, 1st, 2d, and 3d Michigan, 1st and 2d Minnesota, 1st and 2d Ohio; detachment of 2d, 3d, and 8th Regular Infantry, and a battalion of Marines; Artillery: Batteries D, E, G, and M, 2d, B, 3d Artillery, D, 5th Artillery, and the 2d Rhode Island Battery; Cavalry: detachments from the 1st and 2d Dragoons."
37,1861-7-22,1861-7-22,False,"Forsyth, Mo.",MO,"1st Iowa and 2d Kansas Volunteers, Stauley Dragoons and Totten's Battery."
38,1861-7-22,1861-7-22,False,"Aetna, Mo.",MO,21st Missouri Volunteers.
39,1861-7-24,1861-7-24,False,"Blue Mills, Mo.",MO,5th Missouri Reserves.
40,1861-7-26,1861-7-26,False,"Lane's Prairie, near Rolla, Mo.",MO,Missouri Home Guards.
41,1861-7-26,1861-7-26,False,"Harrisonville, Mo.",MO,Missouri Home Guards and 5th Kansas Cavalry.
42,1861-7-27,1861-7-27,False,"Fort Fillmore, New Mexico.",NM,7th U. S. Infantry and U. S. Mounted Rifles.
