battle_id,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry_corps,divisions,cavalry_divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships_and_transports,warships,wooden_warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,missing_captured,wounded_missing,guns_lost,guns_captured,small_arms_lost,small_arms_captured,warships_sunk,warships_damaged,gunboats_sunk,gunboats_captured,ironclads_sunk,ironclads_captured,forts_captured,note,str_mean,str_var
Allatoona,Confederate,3000,,,,,,,,,,,,,,,,,,,,,122,443,234,,,,,,,,,,,,,,,,,3e3,83333.33333333333
Allatoona,US,1944,,,,,,,,,,,,,,,,,,,,,142,352,212,,,,,,,,,,,,,,,,,1944,0.08333333333333333
Antietam (Sharpsburg),Confederate,39000,,,,,,,,,,,,,,,,,,,,,1546,7752,1018,,,,,,,,,,,,,,,,,39e3,83333.33333333333
Antietam (Sharpsburg),US,75316,,,,,,,,,,,,,,,,,,,,,2108,9549,753,,,,,,,,,,,,,,,,,75316,0.08333333333333333
Apache Canyon/Glorieta Pass,Confederate,900,,,,,,,,,,,,,,,,,,,,102,47,64,,,,,,,,,,,,,,,,,,900,833.3333333333334
Apache Canyon/Glorieta Pass,US,1342,,,,,,,,,,,,,,,,,,,,16,54,94,,,,,,,,,,,,,,,,,,1342,0.08333333333333333
Atlanta,Confederate,36934,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,36934,0.08333333333333333
Atlanta,US,30477,,,,,,,,,,,,,,,,,,,,,500,2141,1081,,,,,,,,,,,,,,,,,30477,0.08333333333333333
Averasboro,Confederate,11000,,,,,,,,,,,,,,,,,,,,,108,,,,,,757,,,,,,,,,,,,,11e3,83333.33333333333
Averasboro,US,22000,,,,,,,,,,,,,,,,,,,,,95,533,54,,,,,,,,,,,,,,,,,22e3,83333.33333333333
Ball's Bluff,Confederate,3000,,,,,,,,,,,,,,,,,,,,,33,115,1,,,,,,,,,,,,,,,,,3e3,83333.33333333333
Ball's Bluff,US,1700,,,,,,,,,,,,,,,,,,,,714,49,158,,,,,,,,,,,,,,,,,,1700,833.3333333333334
Baton Rouge,Confederate,2600,,,,,,,,,,,,,,,,,,,,57,84,315,,,,,,,,,,,,,,,,,,2600,833.3333333333334
Baton Rouge,US,2500,,,,,,,,,,,,,,,,,,,,33,84,266,,,,,,,,,,,,,,,,,,2500,833.3333333333334
Batteries Wagner and Gregg,Confederate,1500,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,1500,833.3333333333334
Batteries Wagner and Gregg,US,3000,,,,,,,,,,,,,,,,,,,,,49,123,,,,167,,,,,,,,,,,,,,3e3,83333.33333333333
Battery Wagner,Confederate,1300,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,1300,833.3333333333334
Battery Wagner,US,6000,,,,,,,,,,,,,,,,,,,,,246,890,391,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Belmont,Confederate,5000,,,,,,,,,,,,,,,,,,,,117,105,419,,,,,,,,,,,,,,,,,,5e3,83333.33333333333
Belmont,US,3114,,,,,,,,,,,,,,,,,,,,104,120,383,,,,,,,,,,,,,,,,,,3114,0.08333333333333333
Bentonville,Confederate,16895,,,,,,,,,,,,,,,,,,,,,228,1467,658,,,,,,,,,,,,,,,,,16895,0.08333333333333333
Bentonville,US,31127,,,,,,,,,,,,,,,,,,,,,191,1168,287,,,,,,,,,,,,,,,,,31127,0.08333333333333333
Big Black River,Confederate,,,,,,,,,1,,,,,,,,,,,1751,,,,,,,,,,,,,,,,,,,,,2231.386,533930.3413453446
Big Black River,US,,,,,,,2,,,,,,,,,,,,,,,39,237,3,,,,,,,,,,,,,,,,,12620.978,17527500.94846449
Brandy Station,Confederate,,,10000,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,,1e4,8333333.333333333
Brandy Station,US,,,12000,,,,,,,,,,,,,,,,,,486,69,352,,,,,,,,,,,,,,,,,,12e3,83333.33333333333
Brice's Crossroads,Confederate,4800,,,,,,,,,,,,,,,,,,8,,,96,396,,,,,,,,,,,,,,,,,,4800,833.3333333333334
Brice's Crossroads,US,8300,,,,,,,,,,,,,,,,,,22,,1623,223,394,,,,,,18,,,,,,,,,,,,8300,833.3333333333334
Bristoe Station,Confederate,,,,,,,,,2,,,,,,,,,,,,450,,,,1400,,,,,,,,,,,,,,,,4462.772,2135721.365381378
Bristoe Station,US,,,,,,,3,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,,18931.466999999997,39436877.1340451
Buckland,Confederate,,,,,,,,1,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,5628.507,3841167.133084097
Buckland,US,,,,,,,,1,,,,,,,,,,,,1251,,,,,,,,,,,,,,,,,,,,,4658.573,2157801.6763473465
Cedar Creek,Confederate,18410,,,,,,,,,,,,,,,,,,,,,320,1540,,,,1050,,25,,,,,,,,,,,,18410,8.333333333333334
Cedar Creek,US,30829,,,,,,,,,,,,,,,,,,,,,644,3430,,,,1591,,,,,,,,,,,,,,30829,0.08333333333333333
Cedar Mountain,Confederate,16868,,,,,,,,,,,,,,,,,,,,,231,1107,31,,,,,,,,,,,,,,,,,16868,0.08333333333333333
Cedar Mountain,US,8030,,,,,,,,,,,,,,,,,,,,,314,1445,594,,,,,,,,,,,,,,,,,8030,8.333333333333334
Champion's Hill,Confederate,21800,,,,,,,,,,,,,,,,,,,,,381,1800,,,,1670,,,,,,,,,,,,,,21800,833.3333333333334
Champion's Hill,US,29373,,,,,,,,,,,,,,,,,,,,,410,1844,187,,,,,,,,,,,,,,,,,29373,0.08333333333333333
Chancellorsville,Confederate,60892,,,,,,,,,,,,,,,,,,,,,1665,9081,2081,,,,,,,,,,,,,,,,,60892,0.08333333333333333
Chancellorsville,US,97382,,,,,,,,,,,,,,,,,,,,,1606,9762,,,,5919,,,,,,,,,,,,,,97382,0.08333333333333333
Chattanooga,Confederate,40929,,,,,,,,,,,,,,,,,,,,,361,2160,,,,4146,,41,,7000,,,,,,,,,,40929,0.08333333333333333
Chattanooga,US,56359,,,,,,,,,,,,,,,,,,,,,753,4722,,,,349,,,,,,,,,,,,,,56359,0.08333333333333333
Chattanooga (Lookout Mountain),Confederate,,,,,,,,,3,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,6694.157999999999,4805373.072108101
Chattanooga (Lookout Mountain),US,12000,,,,,,,,,,,,,,,,,,,,,81,540,8,,,,,,,,,,,,,,,,,12e3,83333.33333333333
Chattanooga (Missionary Ridge),Confederate,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,
Chattanooga (Missionary Ridge),US,24536,,,,,,,,,,,,,,,,,,,3170,,,,,,,,,,,,,,,,,,,,,24536,0.08333333333333333
Chattanooga (Orchard Knob/Indian Hill),Confederate,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,
Chattanooga (Orchard Knob/Indian Hill),US,25000,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,25e3,83333.33333333333
