unit_code,side,state,ordinal,type,special,duplicate,ethnic,unit_name,notes,func
CAL000000M,Confederate,AL,,,M,0,,Alabama Militia,,
CAL000000R1,Confederate,AL,,,R,1,,Alabama Reserves,,
CAL000000R2,Confederate,AL,,,R,2,,Alabama State Reserves,,
CAL000000S,Confederate,AL,,,S,0,,Alabama State Troops,,
CAL000000T,Confederate,AL,,,T,0,,Alabama Mounted Militia,,
CAL00000A,Confederate,AL,,,,0,,Alabama Artillery,No unit history.,A
CAL00000AS,Confederate,AL,,,S,0,,Alabama State Artillery,,A
CAL00000C,Confederate,AL,,,,0,,Alabama Cavalry,,C
CAL00000E,Confederate,AL,,,,0,,Alabama Engineers,,E
CAL0000Y,Confederate,AL,,Y,,0,,Alabama Battery,,
CAL0001B001,Confederate,AL,1,B,,1,,"1st Battalion, Alabama Cadets",No unit history.,
CAL0001B002,Confederate,AL,1,B,,2,,"1st Battalion, Alabama",,
CAL0001B0M,Confederate,AL,1,B,M,0,,"1st Battalion, Alabama Militia",,
CAL0001B0R,Confederate,AL,1,B,R,0,,"1st Battalion, Alabama Reserves",,
CAL0001BA,Confederate,AL,1,B,,0,,"1st Battalion, Alabama Artillery",6/8/99,A
CAL0001BC,Confederate,AL,1,B,,0,,"1st Battalion, Alabama Cavalry",No unit history.,C
CAL0001BI,Confederate,AL,1,B,,0,,"1st Battalion, Alabama Infantry (Loomis')",No unit history.,I
CAL0001R0D,Confederate,AL,1,R,D,0,,"1st Regiment, Alabama Conscripts",No unit history.,
CAL0001R0G,Confederate,AL,1,R,G,0,,"1st Regiment, Alabama Home Guards",,
CAL0001R0M,Confederate,AL,1,R,M,0,,"1st Regiment, Alabama Militia",,
CAL0001R0V,Confederate,AL,1,R,V,0,,"1st Regiment, Mobile (Alabama) Volunteers",,
CAL0001RA,Confederate,AL,1,R,,0,,"1st Regiment, Alabama Artillery",,A
CAL0001RAH,Confederate,AL,1,R,H,0,,"1st Regiment, Alabama Heavy Artillery",,A
CAL0001RC,Confederate,AL,1,R,,0,,"1st Regiment, Alabama Cavalry",6/8/99,C
CAL0001RCM,Confederate,AL,1,R,M,0,,"1st Regiment, Alabama Cavalry Militia",,C
CAL0001RCR,Confederate,AL,1,R,R,0,,"1st Regiment, Alabama Cavalry Reserve",,C
CAL0001RI,Confederate,AL,1,R,,0,,"1st Regiment, Alabama Infantry",,I
CAL0001RI02,Confederate,AL,1,R,,2,,"1st Regiment, Alabama, Tennessee and Mississippi Infantry",,I
CAL0001RIR,Confederate,AL,1,R,R,0,,"1st Regiment, Alabama Reserves (62nd Regiment Infantry)",6/8/99,I
CAL0001RS,Confederate,AL,1,R,,0,,"1st Regiment, Alabama Sharpshooters",,S
CAL0002B,Confederate,AL,2,B,,0,,"2nd Battalion, Alabama",,
CAL0002B0R,Confederate,AL,2,B,R,0,,"2nd Battalion, Alabama Reserves",,
CAL0002BAL,Confederate,AL,2,B,L,0,,"2nd Battalion, Alabama Light Artillery",6/8/99,A
CAL0002R0M,Confederate,AL,2,R,M,0,,"2nd Regiment, Alabama Volunteer Militia",No unit history.,
CAL0002RC,Confederate,AL,2,R,,0,,"2nd Regiment, Alabama Cavalry",,C
CAL0002RE,Confederate,AL,2,R,,0,,"2nd Regiment, Alabama Engineers",,E
CAL0002RI,Confederate,AL,2,R,,0,,"2nd Regiment, Alabama Infantry",6/8/99,I
CAL0002RIR,Confederate,AL,2,R,R,0,,"2nd Regiment, Alabama Reserve (63rd Regiment Infantry)",6/10/99,I
CAL0003B,Confederate,AL,3,B,,0,,"3rd Battalion, Alabama",,
CAL0003B0R,Confederate,AL,3,B,R,0,,"3rd Battalion, Alabama Reserves",No unit history.,
CAL0003R0D,Confederate,AL,3,R,D,0,,"3rd Regiment, Alabama Conscripts",,
CAL0003R0M,Confederate,AL,3,R,M,0,,"3rd Regiment, Alabama Volunteer Militia",,
CAL0003R0R,Confederate,AL,3,R,R,0,,"3rd Regiment, Alabama Reserves",6/10/99,
CAL0003R0S,Confederate,AL,3,R,S,0,,"3rd Regiment, Alabama State Troops",,
CAL0003RC,Confederate,AL,3,R,,0,,"3rd Regiment, Alabama Cavalry",6/8/99,C
CAL0003RI,Confederate,AL,3,R,,0,,"3rd Regiment, Alabama Infantry",6/10/99,I
CAL00040A,Confederate,AL,4,,,0,,4th Alabama Artillery,,A
CAL0004B,Confederate,AL,4,B,,0,,"4th Battalion, Alabama",6/10/99,
CAL0004BC,Confederate,AL,4,B,,0,,"4th Battalion, Alabama Cavalry (Love's)","No unit history.
",C
CAL0004BI,Confederate,AL,4,B,,0,,"4th Battalion, Alabama Infantry",6/10/99,I
