battle_id,belligerent,name,url
second-deep-bottom,US,Winfield Scott Hancock,http://www.civilwar.org/education/history/biographies/winfield-scott-hancock.html
second-deep-bottom,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
munfordville,US,John T. Wilder,http://www.civilwar.org/education/history/biographies/john-t-wilder.html
munfordville,Confederate,Braxton Bragg,http://www.civilwar.org/education/history/biographies/braxton-bragg.html
the-wilderness,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
the-wilderness,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
mill-springs,US,George Thomas,http://www.civilwar.org/education/history/biographies/george-thomas.html
mill-springs,Confederate,George Bibb Crittenden,http://www.civilwar.org/education/history/biographies/george-bibb-crittenden.html
honey-springs,US,James Gilpatrick Blunt,http://www.civilwar.org/education/history/biographies/james-gilpatrick-blunt.html
honey-springs,Confederate,Douglas Hancock Cooper,http://www.civilwar.org/education/history/biographies/douglas-hancock-cooper-1.html
malvern-hill,US,George B. McClellan,http://www.civilwar.org/education/history/biographies/george-mcclellan.html
malvern-hill,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
bristoe-station,US,Gouverneur K. Warren,http://www.civilwar.org/education/history/biographies/gouvernor-warren.html
bristoe-station,Confederate,A. P. Hill,http://www.civilwar.org/education/history/biographies/a-p-hill.html
ream-s-station,US,Winfield Scott Hancock,http://www.civilwar.org/education/history/biographies/winfield-scott-hancock.html
ream-s-station,Confederate,A. P. Hill,http://www.civilwar.org/education/history/biographies/a-p-hill.html
ream-s-station,Confederate,Wade Hampton,http://www.civilwar.org/education/history/biographies/wade-hampton.html
fort-stevens,US,Alexander M. McCook,http://www.civilwar.org/education/history/biographies/alexander-mcdowell-mccook.html
fort-stevens,US,Horatio G. Wright,http://www.civilwar.org/education/history/biographies/horatio-gouverneur-wright.html
fort-stevens,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
new-hope-church,US,Joseph Hooker,http://www.civilwar.org/education/history/biographies/joseph-hooker.html
new-hope-church,US,William T. Sherman,http://www.civilwar.org/education/history/biographies/william-t-sherman.html
new-hope-church,Confederate,Joseph E. Johnston,http://www.civilwar.org/education/history/biographies/joseph-johnston.html
cold-harbor,US,George G. Meade,http://www.civilwar.org/education/history/biographies/george-meade.html
cold-harbor,US,Ulysses S. Grant,http://www.civilwar.org/education/history/biographies/ulysses-s-grant.html
cold-harbor,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
carthage,US,Franz Sigel,http://www.civilwar.org/education/history/biographies/franz-sigel.html
carthage,Confederate,Sterling Price,http://www.civilwar.org/education/history/biographies/sterling-price.html
mine-run,US,George G. Meade,http://www.civilwar.org/education/history/biographies/george-meade.html
mine-run,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
falling-waters,US,George G. Meade,http://www.civilwar.org/education/history/biographies/george-meade.html
falling-waters,Confederate,Robert E. Lee,http://www.civilwar.org/education/history/biographies/robert-e-lee.html
third-winchester,US,Philip Sheridan,http://www.civilwar.org/education/history/biographies/phillip-sheridan.html
third-winchester,Confederate,Jubal Early,http://www.civilwar.org/education/history/biographies/jubal-early.html
pickettsmill,US,Oliver O. Howard,http://www.civilwar.org/education/history/biographies/oliver-howard.html
pickettsmill,Confederate,Patrick R. Cleburne,http://www.civilwar.org/education/history/biographies/patrick-cleburne.html
iuka,US,William S. Rosecrans,http://www.civilwar.org/education/history/biographies/william-s-rosecrans.html
