BattlefieldCode,Comment,Source,UnitCode,companies,batteries,detachment,section
AL001,,DYER,UIL0080RI,,,,
AL001,,DYER,UIN0051RI,,,,
AL001,,DYER,UIN0073RI,,,,
AL001,,DYER,UOH0003RI01,,,,
AL002,,CRUTE,CAL0004RC01,,,,
AL002,,CRUTE,CAL0011RC,,,,
AL002,,CRUTE,CTN0021RC02,,,,
AL002,,DYER,UIL0009RI01,,,,
AL003,,CRUTE,CAL0001BA,,,,
AL003,,CRUTE,CAL0001R0V,,,,
AL003,,CRUTE,CAL0002BAL,,,,
AL003,,CRUTE,CAL0002RIR,,,,
AL003,,CRUTE,CAL0021RI,,,,
AL003,,DYER,UIL0077RI,,,,
AL003,,DYER,UIL0094RI,,,,
AL003,,DYER,UIN0001RAH,,,,
AL003,,DYER,UIN0067RI,,,,
AL003,,DYER,UMD0003RC,,,,
AL003,,DYER,UOH0017YAL,,,,
AL003,,DYER,UUR0005RA,,,,
AL003,,DYER,UUS0096RI00C,,,,
AL003,,DYER,UWI0020RI,,,,
AL005,,CRUTE,CAL0001R0V,,,,
AL005,,CRUTE,CAL0001RIR,,,,
AL005,,CRUTE,CAL0002BAL,,,,
AL005,,CRUTE,CAL0002RIR,,,,
AL005,,CRUTE,CAL0018RI,,,,
AL005,,CRUTE,CAL0021RI,,,,
AL005,,CRUTE,CAL0032RI01,,,,
AL005,,CRUTE,CAL0036RI,,,,
AL005,,CRUTE,CAL0038RI,,,,
AL005,,CRUTE,CLA0022RI02,,,,
AL005,,DYER,UCT0002YAL,,,,
AL005,,DYER,UFL0001RC01,,,,
AL005,,DYER,UIA0002YAL,,,,
AL005,,DYER,UIA0008RI,,,,
AL005,,DYER,UIA0012RI,,,,
AL005,,DYER,UIA0019RI,,,,
AL005,,DYER,UIA0020RI,,,,
AL005,,DYER,UIA0021RI,,,,
AL005,,DYER,UIA0023RI,,,,
AL005,,DYER,UIA0027RI,,,,
AL005,,DYER,UIA0029RI,,,,
AL005,,DYER,UIA0032RI,,,,
AL005,,DYER,UIA0033RI,,,,
AL005,,DYER,UIA0034RI,,,,
AL005,,DYER,UIA0035RI,,,,
AL005,,DYER,UIL0002RAL,,,,
AL005,,DYER,UIL0002RC,,,,
AL005,,DYER,UIL0008RI01,,,,
AL005,,DYER,UIL0011RI01,,,,
AL005,,DYER,UIL0028RI,,,,
AL005,,DYER,UIL0029RI,,,,
AL005,,DYER,UIL0033RI,,,,
AL005,,DYER,UIL0037RI,,,,
AL005,,DYER,UIL0046RI,,,,
AL005,,DYER,UIL0047RI,,,,
AL005,,DYER,UIL0058RI,,,,
AL005,,DYER,UIL0076RI,,,,
AL005,,DYER,UIL0077RI,,,,
AL005,,DYER,UIL0081RI,,,,
AL005,,DYER,UIL0091RI,,,,
AL005,,DYER,UIL0095RI,,,,
AL005,,DYER,UIL0097RI,,,,
AL005,,DYER,UIL0099RI,,,,
AL005,,DYER,UIL0108RI,,,,
AL005,,DYER,UIL0114RI,,,,
AL005,,DYER,UIL0117RI,,,,
AL005,,DYER,UIL0119RI,,,,
AL005,,DYER,UIL0122RI,,,,
AL005,,DYER,UILCOGSYAL,,,,
AL005,,DYER,UIN0001RAH,,,,
AL005,,DYER,UIN0001YAL,,,,
AL005,,DYER,UIN0003YAL,,,,
AL005,,DYER,UIN0010RI01,,,,
AL005,,DYER,UIN0012RI01,,,,
AL005,,DYER,UIN0013RI,,,,
AL005,,DYER,UIN0014YAL,,,,
AL005,,DYER,UIN0024RI,,,,
AL005,,DYER,ULA0001RC,,,,
AL005,,DYER,UME0002RC,,,,
AL005,,DYER,UMI0001RAL,,,,
AL005,,DYER,UMI0006RAH,,,,
AL005,,DYER,UMN0005RI,,,,
AL005,,DYER,UMN0006RI,,,,
AL005,,DYER,UMN0007RI,,,,
AL005,,DYER,UMN0010RI,,,,
AL005,,DYER,UMO0001RAL,,,,
AL005,,DYER,UMO0011RI,,,,
AL005,,DYER,UMO0021RI,,,,
AL005,,DYER,UMO0030RI,,,,
AL005,,DYER,UMO0033RI,,,,
AL005,,DYER,UMO0040RI,,,,
AL005,,DYER,UMO0044RI,,,,
AL005,,DYER,UMO0049RI,,,,
AL005,,DYER,UNJ0002RC,,,,
AL005,,DYER,UNJ0034RI,,,,
AL005,,DYER,UNY0002RCU,,,,
AL006,,CRUTE,CAL0001R0V,,,,
AL006,,CRUTE,CAL0001RIR,,,,
