battle_id,belligerent,battle_name,start_date,end_date,state,killed,wounded,missing,casualties,aggregates_battles,comment,from_footnote
U1,US,"Big Bethel, Va.",1861-6-10,1861-6-10,VA,18,53,5,76,False,,0
U2,US,"Carthage, Mo.",1861-7-5,1861-7-5,MO,13,31,,44,False,,0
U3,US,"Rich Mountain, W. Va.",1861-7-11,1861-7-11,WV,12,49,,61,False,,0
U4,US,"Blackburn's Ford, Va.",1861-7-18,1861-7-18,VA,19,38,26,83,False,,0
U5,US,"First Bull Run, Va.",1861-7-21,1861-7-21,VA,470,1071,1793,3334,False,,0
U6,US,"Wilson's Creek, Mo.",1861-8-10,1861-8-10,MO,223,721,291,1235,False,,0
U7,US,"Carnifex Ferry, W. Va.",1861-9-10,1861-9-10,WV,17,141,,158,False,,0
U8,US,"Greenbrier River, W. Va.",1861-10-3,1861-10-3,WV,8,35,,43,False,,0
U9,US,"Ball's Bluff, Va.",1861-10-21,1861-10-21,VA,49,158,714,921,False,,0
U10,US,"Belmont, Mo.",1861-11-7,1861-11-7,MO,80,322,99,501,False,,0
U11,US,"Camp Alleghany, W. Va.",1861-12-13,1861-12-13,WV,20,107,10,137,False,,0
U12,US,"Dranesville, Va.",1861-12-20,1861-12-20,VA,7,61,,68,False,,0
U13,US,"Mill Springs, Ky.",1862-1-19,1862-1-19,KY,39,207,,246,False,,0
U14,US,"Roanoke Island, N. C.",1862-2-8,1862-2-8,NC,37,214,13,264,False,,0
U15,US,"Fort Donelson, Tenn.",1862-2-15,1862-2-15,TN,500,2108,224,2832,False,,0
U16,US,"New Madrid, Mo.",1862-3-1,1862-3-14,MO,8,21,3,32,False,,0
U17,US,"Pea Ridge, Mo.",1862-3-6,1862-3-8,MO,203,980,201,1384,False,,0
U18,US,"New Berne, N. C.",1862-3-14,1862-3-14,NC,90,380,1,471,False,,0
U19,US,"Kernstown, Va.",1862-3-23,1862-3-23,VA,118,450,22,590,False,,0
U20,US,"Shiloh, Tenn.",1862-4-6,1862-4-7,TN,1754,8408,2885,13047,False,,0
U21,US,"Camden, N. C. (South Mills)",1862-4-19,1862-4-19,NC,13,101,13,127,False,,0
U22,US,"Farmington, Miss.",1862-5-9,1862-5-9,MS,16,148,14,178,False,,0
U23,US,"Williamsburg, Va.",1862-5-5,1862-5-5,VA,456,1410,373,2239,False,,0
U24,US,"West Point, Va.",1862-5-7,1862-5-7,VA,48,110,28,186,False,,0
U25,US,"McDowell, Va.",1862-5-8,1862-5-8,VA,26,227,3,256,False,,0
U26,US,"Princeton, W. Va.",1862-5-16,1862-5-17,WV,23,69,21,113,False,,0
U27,US,"Russell House, Miss.",1862-5-17,1862-5-17,MS,10,31,,41,False,,0
U28,US,"Lewisburg, W. Va.",1862-5-23,1862-5-23,WV,13,53,7,73,False,,0
U29,US,"Front Royal and Winchester, Va.",1862-5-23,1862-5-25,VA,62,243,1714,2019,False,,0
U30,US,"Hanover Court House, Va.",1862-5-27,1862-5-27,VA,62,223,70,355,False,,0
U31,US,"Fair Oaks, Va. (Seven Pines)",1862-5-31,1862-5-31,VA,790,3594,647,5031,False,,0
U32,US,"Cross Keys, Va.",1862-6-8,1862-6-8,VA,114,443,127,684,False,,0
U33,US,"Port Republic, Va.",1862-6-9,1862-6-9,VA,67,393,558,1018,False,,0
U34,US,"Secessionville, S. C.",1862-6-16,1862-6-16,SC,107,487,89,683,False,,0
U35,US,"Oak Grove, Va.",1862-6-25,1862-6-25,VA,67,504,55,626,False,,0
U36,US,"Mechanicsville, Va.",1862-6-26,1862-6-26,VA,49,207,105,361,False,,0
U37,US,"Gaines's Mill, Va.",1862-6-27,1862-6-27,VA,894,3107,2836,6837,False,,0
U38,US,"Golding's Farm, Va.",1862-6-28,1862-6-28,VA,37,227,104,368,False,"Includes loss at Garnett's Farm on the previons day,",0
U39,US,"Savage Station, va",1862-6-29,1862-6-29,VA,80,412,1098,1590,False,Includes loss at Peach Orchard (or Allen's Farm) on same day.,0
U40,US,"Glendale, Va.",1862-6-30,1862-6-30,VA,210,1513,1130,2853,False,"Includes loss at White Oak Swamp, and Charles City Cross Roads.",0
U41,US,"Malvern Hill, Va.",1862-7-1,1862-7-1,VA,397,2092,725,3214,False,,0
U42,US,"Seven Days Battle, Va.",1862-6-25,1862-7-1,VA,1734,8062,6053,15849,True,,0
U43,US,"Bayou Cache, Ark.",1862-7-7,1862-7-7,AR,6,57,,63,False,,0
U44,US,"Murfreesboro, Tenn.",1862-7-13,1862-7-13,TN,19,120,46,185,False,Not including men surrendered in the capitulation.,0
U45,US,"Baton Rouge, La.",1862-8-5,1862-8-5,LA,84,266,33,383,False,,0
U46,US,"Cedar Mountain, Va.",1862-8-9,1862-8-9,VA,314,1445,622,2381,False,,0
U47,US,"Manassas, Va.",1862-8-16,1862-8-31,VA,1747,8452,4263,14462,False,"Includes Bristoe Station, Groveton, Gainesville, Chantilly and the Rappahannock.",0
U48,US,"Richmond, Ky.",1862-8-30,1862-8-30,KY,206,844,4303,5353,False,,0
U49,US,"Fayetteville, W. Va.",1862-9-10,1862-9-11,WV,25,95,190,310,False,,0
U50,US,"Harper's Ferry, Va.",1862-9-12,1862-9-15,VA,44,173,12520,12737,False,,0
U51,US,"Crampton's Gap, Md",1862-9-14,1862-9-14,MD,113,418,2,533,False,,0
U52,US,"South Mountain, Md",1862-9-14,1862-9-14,MD,325,1403,85,1813,False,,0
U53,US,"Munfordville, Ky.",1862-9-14,1862-9-16,KY,15,57,4076,4148,False,,0
U54,US,"Antietam, Md",1862-9-17,1862-9-17,MD,2108,9549,753,12410,False,,0
U55,US,"Iuka, Miss.",1862-9-19,1862-9-19,MS,141,613,36,790,False,,0
U56,US,"Shepherdstown Ford, Va.",1862-9-19,1862-9-20,VA,71,161,131,363,False,,0
U57,US,"Corinth, Miss.",1862-10-3,1862-10-4,MS,355,1841,324,2520,False,,0
U58,US,"Hatchie Bridge, Miss.",1862-10-5,1862-10-5,MS,46,493,31,570,False,,0
U59,US,"Chaplin Hills, Ky.",1862-10-8,1862-10-8,KY,845,2851,515,4211,False,,0
U60,US,"Lawrenceburg, Ky. (Dog Walk)",1862-10-8,1862-10-9,KY,8,20,13,41,False,,0
U61,US,"Pocotaligo, S. C.",1862-10-22,1862-10-22,SC,43,294,3,340,False,,0
U62,US,"Georgia Landing, La.",1862-10-27,1862-10-27,LA,18,74,5,97,False,,0
U63,US,"Coffeeville, Miss.",1862-12-5,1862-12-5,MS,10,63,41,114,False,,0
U64,US,"Hartsville, Tenn.",1862-12-7,1862-12-7,TN,58,204,1834,2096,False,,0
U65,US,"Prairie Grove, Ark.",1862-12-7,1862-12-7,AR,175,813,263,1251,False,,0
U66,US,"Kinston; Goldsborough, N. C.",1862-12-12,1862-12-17,NC,92,487,12,591,False,,0
U67,US,"Fredericksburg, Va.",1862-12-13,1862-12-13,VA,1284,9600,1769,12653,False,,0
U68,US,"Chickasaw Bluffs, Miss.",1862-12-28,1862-12-29,MS,208,1005,563,1776,False,,0
U69,US,"Parker's Cross Roads, Tenn.",1862-12-30,1862-12-30,TN,27,140,70,237,False,,0
U70,US,"Stone's River, Tenn.",1862-12-31,1862-12-31,TN,1730,7802,3717,13249,False,"Includes loss at Knob Gap, Dec. 26th; and at Jefferson Dec. 30th; also, losses Jan. 1, 2, 1863.",0
U71,US,"Springfield, Mo.",1863-1-7,1863-1-8,MO,14,146,5,165,False,,0
U72,US,"Hartsville, Mo.",1863-1-11,1863-1-11,MO,7,64,2,73,False,,0
U73,US,"Arkansas Post, Ark.",1863-1-11,1863-1-11,AR,134,898,29,1061,False,,0
