cwsac_id,battle_name,us_ships,cs_ships,all_naval,us_navy,cs_navy,us_fort,cs_fort,comments
AL003,Mobile Bay,18,4,1,1,0,0,1,"18 Union ships. Confederate forces are in 3 forts (Morgan, Gaines, Powell)"
AR002,Saint Charles,8,0,0,1,0,0,1,
AR006,Arkansas Post,9,0,0,1,0,0,1,"involved major land forces: 1047 Union, 5500 Confederate. Union forces supported by Naval forces. Confederates were in a fort."
FL001,Santa Rosa Island,0,1,0,0,1,1,0,
FL002,Tampa,1,0,1,1,0,0,1,1 gunboat bombarded Tampa. There was a small landing party.
GA001,Fort Pulaski,15,3,1,1,1,0,1,
GA002,Fort McAllister I,4,0,1,1,0,0,1,Union navy flotilla vs. a fort
KY010,Paducah,2,0,0,1,0,0,0,Gunboats support US army
LA001,Forts Jackson & St. Philip,18,13,1,1,1,0,1,Bombardment of the forts by ships
LA003,Baton Rouge,10,1,0,1,1,0,0,Gunboats on both sides
LA010,Battle of Port Hudson,8,0,0,1,0,0,1,Union gunboats support the siege
LA011,Milliken Bend,2,0,0,1,0,0,0,Two Union gunboats
LA013,Donaldsonville,2,0,0,1,0,0,0,
MO012,New Madrid/Island No. 10,6,0,0,1,1,0,1,US forces supported by a naval flotilla
NC001,Hatteras Inlet Batteries,7,0,0,1,0,0,1,Union naval forces bombarded the fort.
NC002,Roanoke Island,28,8,0,1,0,0,1,"Involved major land forces: 7,500 Union, 3,000 Confederate. Union forces supported by gunboats. Confederates were in a fort."
NC003,New Berne,14,0,0,1,0,0,1,
NC012,Plymouth,5,2,0,1,1,1,0,"Land forces; some Union ships, and a Confederate ram were involved."
NC013,Albermarle Sound,8,3,1,1,1,0,0,9 Union gunboats and 1 Confederate ram
NC014,Fort Fisher,60,0,0,1,1,0,1,Union naval forces bombarded the fort.
NC015,Fort Fisher,56,0,0,1,1,0,1,Union naval forces bombarded the fort.
NC016,Wilmington,37,0,0,1,0,0,1,"Major land forces (Union 12000, Confederate 6600), Confederates were in a fort. Union forces supported by gunboats."
SC003,Simmon's Bluff,1,0,0,1,0,0,1,
SC004,Charleston Harbor,9,2,1,1,1,0,1,9 Union warships vs. forts
SC007,"Fort Wagner, Morris Island",6,0,1,1,0,0,1,
SC009,Charleston Harbor II,13,0,1,1,0,0,1,
TN001,Fort Henry,7,0,0,1,0,0,1,
TN002,Fort Donelson,7,0,0,1,0,0,1,Gunboats support US army
TN003,Shiloh,2,0,0,1,0,0,0,Gunboats support US army
TN004,Memphis,7,8,1,1,1,0,0,7 Union ships vs. 8 Confederate ships
TN030,Fort Pillow,1,0,0,1,0,1,0,1 US gunboat supported the fort
TX001,Sabine Pass,3,0,1,1,0,0,1,3 Union ships bombarded a fort
TX002,Galveston,2,0,1,1,1,0,1,Most of the fighting involved the bombardment of the town by ships.
TX003,Galveston,6,2,0,1,1,0,1,"Involved 4 Confederate gunboats and blockading Union ships, but also involved 3 Union companies and Confederate land forces"
TX006,Sabine Pass II,4,0,0,1,0,0,1,4 gunboats and 7 transports loaded with troops [US]; Texan Davis Guards (44 men)
VA001,Sewell's point,2,0,1,1,0,0,1,Involved two Union gunboats and a battery
VA002,Aquia Creek,4,0,1,1,0,0,1,Involved 3 gunboats and a battery
VA008,Hampton Roads,6,4,1,1,1,0,0,It only involved ships: 4 Union warships (including the USS Monitor) vs. 1 Confederate warship (CSS Virginia)
VA012,Drewry's Bluff,5,0,1,1,0,0,1,5 Union gunboats vs. a battery
VA030,Suffolk (Norfleet),3,0,0,1,0,0,1,Union gunboats
VA031,Suffolk (Hill's Point),5,0,0,1,0,0,1,Union gunboats
VA100,Cockpit Point,2,0,1,1,0,0,1,Involved 2 gunboats and a battery
