cwsac_id,battle_name,cwsac2_url,lat,long
AL001,Day's Gap,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,34.3096,-87.011
AL002,Athens,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,34.8033,-86.9722
AL003,Mobile Bay,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,30.241,-88.053
AL004,Decatur,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,34.614,-86.986
AL005,Spanish Fort,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,30.6843,-87.9164
AL006,Fort Blakely,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,30.7424,-87.927
AL007,Selma,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,32.424,-87.0237
AR001,Pea Ridge,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,36.4532,-94.0158
AR002,Saint Charles,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,34.3715467,-91.126083
AR003,Hill's Plantation,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,35.0365,-91.293
AR004,Cane Hill,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,35.9066,-94.3998
AR005,Prairie Grove,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,35.993056,-94.307778
AR006,Arkansas Post,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,34.021,-91.349
AR007,Chalk Bluff,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,36.4773,-90.1588
AR008,Helena,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,34.3903,-90.8697
