person_id,dbpedia_uri,last_name,suffix,first_name,middle_name,middle_initial,rank,bio,bio_source,narrative_link_1,narrative_link_2,added
aa49135f-0a49-45bd-8360-000895a6b978,,Halleck,,Henry,Wager,W.,Major General,"On the outbreak of the Civil War, Halleck put aside his entrepreneurial ventures to return to service as a major-general. In November 1861, he was put in charge of the Department of Missouri. The success of his forces under Ulysses S. Grant at Fort Henry and Donelson, his command was enlarged to include the Department of Mississippi. His enlarged command won victories at Pea Ridge, Island #10, and Shiloh. Taking immediate command of his three united field armies after the latter Battle, at Corinth, he proved to be an incapable field commander in his only campaign. Since he failed as a field commander, he was brought to Washington as general in chief until Grant's promotion in March 1864 resulted in Halleck being demoted to chief of staff, but with many of the same duties since Grant served on field command in the last campaigns of the Eastern theater.","K. Singel, 03/06/2008 ; GENERALS IN BLUE (1992) ; SIFAKIS (1988) ; ABPP BATTLE SUMMARIES (1997)",http://www.mrlincolnswhitehouse.org/inside.asp?ID=134&subjectID=2,,FALSE
a35f09f2-1d82-485d-96c1-00e23cc44a16,,Floyd,,John,Buchanan,B.A,Brigadier General,"Floyd served as the Secretary of War to U.S. President Buchanan before his resignation in December 1860. In May 1861 he took a commission as a brigadier general in the Confederate army. He served in West Virginia before he was sent to Fort Donelson. He escaped with his troops prior to the surrender of the fort, which led to his removal. He was subsequently commissioned as a major general of Virginia state troops, but he died due to ill health in August 1863.","K. Singel, 03/19/2008 ; GENERALS IN GRAY (1987) ; SIFAKIS (1988) ; ABPP BATTLE SUMMARIES (1997) ; edited by J. Phillips, 8/22/2010.",,,FALSE
94f86401-deee-4733-92a8-010115f33556,,Mathews,,Edward,,,,,,,,FALSE
1335cadd-d833-4e9b-ae7d-012211c3da64,,Butler,,Matthew,Calbraith,C.,Brigadier General,"At the outbreak of the war, Butler resigned from the South Carolina state legislature to become a captain in the Edgefield volunteers. He served at the Battle of First Manassas as captain of the Hampton Legion. Subsequently, he was promoted to captain. In May 1862, he served at the Battle of Williamsburg. He received the position of colonel of the 2nd South Carolina Cavalry, which he led in the Battle of First Manassas, the battle of South Mountain, and the battle of Antietam. In June 1863, he lost his right foot at the Battle of Brandy Station. He returned to service in September with a promotion to brigadier general. Due to his excellent performance in the battles of the Wilderness and Spotsylvania Court House, he received another promotion to major general of cavalry. He participated in the battles of Haw's Shop, Cold Harbor and Trevilian Station before he was sent to the Carolinas to try to stop the advance of the Union forces from the South. He was forced to surrender his command in April 1865.","K. Singel, 03/14/2008 ; WAKELYN (1977) ; ABPP BATTLE SUMMARIES (1997) ;edited by J. Phillips, 8/19/2010.",,,FALSE
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,,Davis,,Jefferson,,,,"Born in 1808, Jefferson Davis was a veteran American politician who served as President of the Confederate States of America. As a senator from Mississippi before the war, he argued against secession but believed states had an unquestionable right to secede from the Union. He resigned his position in 1861, upon hearing Mississippi had seceded. Soon after, he was appointed President of the Confederate States of America. During his presidency, Davis was unable to find a strategy to defeat the better organized and more industrially developed North.  Even until his death, Davis remained resistant to Federal control of the South.  ","K. Singel, 07/14/2009, http://jeffersondavis.rice.edu/chron.cfm [accessed 14 July 2009] Revised J. Frederick 8/18/10",http://jeffersondavis.rice.edu/chron.cfm,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000113,FALSE
757c0b27-5a82-499b-9bf1-01bf50dce01d,,Toombs,,Robert,,,,"Born in 1810 in Wilkes County, GA, Robert Toombs was a U.S. politician, Confederate cabinet member, and Southern general.  In 1861, he left the U.S. Senate to become the first Confederate Secretary of State. He soon resigned to serve as a brigadier general in the Army of Northern Virginia, serving throughout many campaigns in Virginia and wounded at the Battle of Antietam. In early 1863 he became a commanding officer of Georgia Militia. Denied a military promotion, he resigned his commission and returned home to Washington, Georgia, where he died on December 15, 1885.","K. Singel, 07/14/2009, http://www.gastateparks.org/info/rtoombs/ [accessed 14 July 2009]; Revised J.Frederick 8/18/10",http://www.gastateparks.org/info/rtoombs/,,FALSE
2f47ce28-50f4-4728-8a6f-01d50726a032,,Sigel,,Franz,,,Colonel,"In 1861, Sigel was commissioned Colonel of the 3rd Missouri Infantry. However, following his leadership at Carthage, Missouri, he was promoted to the rank of brigadier general. Sigel commanded a brigade in the Army of Southwest Missouri from January to February 1862. He was involved in the battles at Wilson's Creek. and Pea Ridge. In March 1862, he was appointed a major general. Three months later, he fought against Stonewall Jackson in Shenandoah Valley. In the Second Battle of Manassas, he served to command a wing of the Union army, however, it was a Confederate victory. In the winter of 1863, his health forced Sigel to rest from active duty. He returned in March 1864, but he was defeated at New Market. In July, he commanded the Union forces at Harpers Ferry , but he was soon relieved of his command for ""lack of aggression"".","K. Singel, 02/25/2008; ABPP BATTLE SUMMARIES (1997) ; GENERALS IN BLUE (1992)",http://books.google.com/books?id=Ga-Yl2fqPS0C&pg=PA368&dq=franz+sigel&ei=TefCR-TNMI_6zQTDpPSpCA,,FALSE
7cc88861-1a9f-4ad0-9dcd-0215c8ebc580,,Everett,,Edward,,,,"Born in 1794, Everett had established a formidable reputation as a lecturer and orator before he reached the age of 26. He served in the U.S. House of Representatives, as governor of Massachusetts, as U.S. minister to England, as president of Harvard, as Secretary of State and as a U.S. Senator. In 1860, he was the unsuccessful vice presidential candidate of the Constitutional Union Party.","K. Engel, 01/13/2011, http://www.massmoments.org/moment.cfm?mid=333",http://www.harvardsquarelibrary.org/HVDpresidents/everett.php,http://bioguide.congress.gov/scripts/biodisplay.pl?index=e000264,FALSE
630fb1e5-bd14-423e-8d72-02d7358f2f13,,Farrand,,Ebenezer,,,Commander,"Farrand served at Pensacola Navy Yard, and held various appointments in the Confederate States Navy in 1861 until his appointment at Savannah station in 1862. He was put in charge of commanding naval defenses at Drewry's Bluff, Va., 1862. From Virginia, he went to Alabama to serve at the Selma Naval Foundry. In 1863,  he commanded in Mobile after Admiral Buchanan was wounded and taken prisoner by Union forces in August 1864.","K Singel, 02/15/2008 ; SCHARF (1894) ; ABPP BATTLE SUMMARIES (1997)",http://blueandgraytrail.com/event/Battle_of_Drewrys_Bluff,http://books.google.com/books?id=rTMOAAAAIAAJ,FALSE
1c4159d5-d3ad-4c81-b53d-02dead715a4f,,Kilty,,Augustus,Henry,H.,Commodore,"Prior to the start of the war in the United States, Kilty served in the West Indies, Mediterranean, in Brazil, and on the coast of Africa. In 1855, he was commissioned as a commander. In 1861, he was ordered to St. Louis to organize the Mississippi flotilla.. He commanded the gun-boat ""Mound City"" at Island No. 10 and at Fort Pillow, where his vessel was sunk, but later raised and repaired. In June 1862, he commanded an expedition to White river, Arkansas. On June 1Seventh, he attacked and captured Fort St. Charles with the support of a land force. He lost an arm in this attack, but he was commissioned as a captain in 1862. He finished the war as commander of the ironclad Roanoke in the North Atlantic Squadron.","K. Singel, 02/08/2008 ; HAMERSLY (1870) ; ABPP BATTLE SUMMARIES (1997)",http://www.history.navy.mil/danfs/m15/mound_city.htm,http://books.google.com/books?id=_x0PAAAAYAAJ&pg=PA51&lpg=PA51&dq=augustus+kilty&source=web&ots=X9URoUkTnM&sig=QT0czyxgLiSjCrqiD52a1yWE8R4,FALSE
2980513c-c2b5-4bb9-9f93-054cc33151a9,,Blair,,Francis,Preston,P,,"Francis Preston Blair was born in 1791 in Virginia and became a journalist in Frankfort, Kentucky. After the election of 1828, he received national recognition for his support of President Andrew Jackson. In 1830, Jackson invited Blair to become editor of the pro-administration newspaper, the Washington Globe. He remained at this position until the election of James Polk forced Blair out as publisher of the periodical. During the Civil War, however, both Blair and his son returned to Washington where they became trusted advisors to President Lincoln.  Francis Preston Blair died on October 18. 1876.","K. Singel, 12/28/09, http://www.blairhouse.org/h_blairs.html [accessed 28 Dec 2009]; M. Nickels, 03/15/10, http://www.britannica.com/EBchecked/topic/68743/Francis-P-Blair [accessed 3/15/10]; Revised J. Frederick 8/18/10",http://www.blairhouse.org/h_blairs.html,http://www.mrlincolnswhitehouse.org/inside.asp?ID=663&subjectID=2,FALSE
bf9fb8ee-da56-42fa-b5e5-05ef8a4e4062,,,,Inkpaduta,,,Chief,"As a war leader of the Wahpekute Santee Sioux tribe, Inkpaduta was one of the war leaders of the Santee Sioux Indians at the battles of Big Mound, Dead Buffalo Lake, and Whitestone Hill, in North Dakota in 1863. In the following year, however, the Union army strategized the end of the Sioux resistance, which became realized at the battle of Killdeer Mountain in July 1864. Inkpaduta was forced to flee to Canada.  Twelve years after the Civil War, Inkpaduta was among the scores of natives who defeated Custer at the Little Bighorn.  He passed away in Canada in 1881.","K. Singel, 03/21/2008 ; http://fsst.org/PDFs/History_FlandreauSanteeSioux.pdf (accessed 21 Mar 2008) ; ABPP BATTLE SUMMARIES (1997); Revised J. Frederick 8/18/10",http://www.montana.edu/wwwfpcc/tribes/santee.html,http://www.rrcnet.org/~historic/inkpadu.html,FALSE
