battle,battle_name,campaign,url,state,strength,results_text,results,forces_text,study_area,core_area,potnr_boundary
AL001,Day’s Gap,Streight’s Raid in Alabama and Georgia (1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Confederate Victory,Confederate,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment) [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana [CS]",5410.35,1084.76,2933.02
AL002,Athens,Forrest’s Raid in Northern Alabama and Middle Tennessee,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Confederate victory,Confederate,"110th USCT, 102th Ohio Infantry (detachment), 18th Michigan Infantry (detachment), 111th USCT, 4th Cavalry Division [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana [CS]",21919.82,2274.85,2998.41
AL003,Mobile Bay,Operations in Mobile Bay (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Union victory,Union,"West Gulf Blockading Squadron and U.S. Army forces near Mobile [US]; Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison [CS].",36916.74,16130.48,34927.42
AL004,Decatur,Franklin – Nashville Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Confederate victory,Confederate,"Garrison at Decatur; US Army Gunboat Stone River, USS General Thomas; detachments of 102 Ohio Infantry, 18th Michigan Infantry, 13th Wisconsin Infantry, 14th US Colored Infantry, 73rd Indiana Infantry, 68th Indiana Infantry, and 13th Indiana Cavalry [US]; Army of Tennessee [CS]",14623.51,1148.87,0
AL005,Spanish Fort,Mobile Campaign (1865),http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Union victory,Union,Army of West Mississippi [US]; Spanish Fort garrison [CS],3742.16,2282.27,0
AL006,Fort Blakely,Mobile Campaign,http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Union victory,Union,"Army of West Mississippi [US]; Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan [CS]",6061.92,3743.28,4640.71
AL007,Selma,Wilson’s Raid in Alabama and Georgia (1865)),http://www.nps.gov/hps/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,AL,,Union victory,Union,"Cavalry Corps, Military Division of the Mississippi [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana; General Daniel W. Adams' state reserves; citizens of Selma who volunteered to man the defenses [CS]",16158.29,4631.72,0
AR001,Pea Ridge,Pea Ridge Campaign,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,AR,,Union victory,Union,Army of the Southwest [US]; Army of the West [CS],9834.22,2078.97,8063.74
AR002,Saint Charles,Operations on the White River,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,AR,,Union victory,Union,"Flotilla of the Mississippi River Squadron (USS Mound City, USS Saint Louis, USS Lexington, USS Conestoga, two transports, and a tug) and the 46th Indiana Infantry [US]; Saint Charles batteries [CS]",1830.99,853.69,1735.05
AR003,Hill’s Plantation,Pea Ridge Campaign,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,AR,,Union victory,Union,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest [US]; 12th, 16th and 17th Texas Cavalry Regiments [CS]",3528.55,1025.92,3528.55
AR004,Cane Hill,Prairie Grove Campaign,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,AR,,Confederate tactical victory,Confederate,"1st Division, Army of the Frontier [US]; Marmaduke’s Cavalry Division [CS]",9007.96,3254.99,6929.53
AR005,Prairie Grove,Prairie Grove Campaign,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,AR,,Union strategic victory,Union,Army of the Frontier [US]; Army of the Trans-Mississippi [CS],14708.69,2450.54,4410.01
AR006,Arkansas Post,Grant’s Operations Against Vicksburg,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,AR,,Union victory,Union,Army of the Mississippi and a flotilla of the Mississippi River Squadron [US]; Fort Hindman garrison [CS],3097.18,976.5,2118.26
AR007,Chalk Bluff,Marmaduke’s Second Expedition into Missouri,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,AR,,Confederate tactical victory,Confederate,"Second Division, Army of the Frontier [US]; Marmaduke’s Cavalry Division [CS]",770.64,64.6,217.07
AR008,Helena,Grant’s Operations Against Vicksburg,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,AR,,Union victory,Union,"District of Eastern Arkansas, Timberclad gunboat USS Tyler [US]; District of Arkansas [CS]",7600.04,2298.65,3361.83
AR009,Devil’s Backbone,Operations to Control Indian Territory,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,AR,,Union victory,Union,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers [US]; Cabell's Brigade [CS]",2538.32,1101.02,1776.97
AR010,Bayou Fourche,Advance on Little Rock,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,AR,,Union victory,Union,"Cavalry Division, Army of Arkansas [US]; District of Arkansas [CS]",9666.26,1700.51,1895.61
AR011,Pine Bluff,Advance on Little Rock,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,AR,,Union victory,Union,"5th Kansas Cavalry, 1st Indiana Cavalry, one company of Missouri State Militia, and 300 freedmen volunteers [US]; Marmaduke’s Cavalry Division [CS]",7633.37,108.42,0
AR012,Elkin’s Ferry,Camden Expedition,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,AR,,Union victory,Union,"Third Division, VII Corps, Department of Arkansas [US]; Marmaduke’s Cavalry Division [CS]",9221.77,2120.9,9209.94
AR013,Prairie D’Ane,Camden Expedition,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,AR,,Union victory,Union,"Third Division, VII Corps, Department of Arkansas [US]; District of Arkansas [CS]",17318.69,7671.57,14201.03
AR014,Poison Spring,Camden Expedition,http://www.nps.gov/hps/abpp/CWSII/Pea Ridge to Saint Charles.pdf,AR,,Confederate victory,Confederate,"1st Kansas Volunteer Infantry (Colored) and the 18th Iowa Infantry; 6th Kansas, 2nd Kansas, and 14th Kansas Cavalry regiments; and two guns of the 2nd Indiana Battery [US]; Marmaduke's Cavalry Division and Maxey's Cavalry Division [CS]",11628.13,3337.86,11374.27
AR015,Marks’ Mills,Camden Expedition,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,AR,,Confederate victory,Confederate,"43rd Indiana, 36th Iowa, and 77th Ohio Infantry; 1st Indiana, 7th Missouri, and 1st Iowa Cavalry; two sections of the 2nd Missouri Light Artillery [US]; Shelby’s Division and Cabell’s Division [CS]",16534.56,4620.16,11395.14
AR016,Jenkin’s Ferry,Camden Expedition,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,AR,,Union victory in retreat,Union,"Third Division and elements of Thayer’s Frontier Division, Army of Arkansas [US]; Walker's Division, the Arkansas Division, the Missouri Division, and Marmaduke's Cavalry Division, Department of Arkansas [CS]",7796.37,3078.09,4510.69
AR017,Old River Lake,Expedition to Lake Village,http://www.nps.gov/hps/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,AR,,Union victory,Union,"1st and 3rd Brigades, 1st Division, XVI Corps [US]; Greene's Brigade [CS]",7763.14,2570.04,3839.77
AR018,Bayou Meto (Reed’s Bridge),Advance on Little Rock,http://www.nps.gov/hps/abpp/CWSII/Arkansas Post to Devils Backbone.pdf,AR,,Confederate victory,Confederate,"1st Cavalry Division, Department of the Missouri, Arkansas Expedition [US]; Marmaduke’s Cavalry Division and Dobbins’ Arkansas Regiment [CS]",3220.59,833.58,715.17
CO001,Sand Creek Massacre,Sand Creek Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportFarWestUpdate.pdf,CO,,Union victory (massacre),Union,Chivington’s Brigade (approximately 700 men) [US]; 500 Cheyenne and a few Arapaho (mostly women and children) [I],34387.61,2271.97,27027.45
DC001,Fort Stevens,Early’s Raid and Operations against the B&O Railroad (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportWashingtonDCUpdate.pdf,DC,,Union victory,Union,"The District of Columbia Legion, 400 [US]; Morgan’s Cavalry Division, 1,800 [CS]",9103.32,2765.73,1166.01
FL001,Santa Rosa Island,Operations of the Gulf Blockading Squadron (1861),http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,FL,,Union victory,Union,Fort Pickens Garrison [US]; Santa Rosa Island Expedition [CS],2826.01,330.05,2612.79
FL002,Tampa,Operations against Tampa (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,FL,,Confederate victory,Confederate,One Federal gunboat [US]; Osceola Rangers [CS],2288.79,1199.82,0
FL003,Saint John’s Bluff,Expedition to Saint John’s Bluff (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,FL,,Union victory,Union,"Saint John's River Expedition, Saint John's River Flotilla, South Atlantic Blockading Squadron [US]; Saint John's Bluff Garrison [CS]",7163.85,1069.43,4245.34
FL004,Fort Brooke,Expedition to Hillsborough River (1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,FL,,Union victory,Union,"USS Tahoma and the USS Adela; Navy landing party [US]; Company A, 2nd Florida Infantry Battalion, Florida Volunteers [CS]",5478.9,1478.65,0
FL005,Olustee,Florida Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,FL,,Confederate victory,Confederate,District of Florida [US]; District of East Florida [CS],5919.08,1108.49,5528.58
FL006,Natural Bridge,"Operations near Saint Marks, Florida (1865)",http://www.nps.gov/hps/abpp/CWSII/CWSACReportFloridaUpdate.pdf,FL,,Confederate victory,Confederate,"2nd and 99th United States Colored Troops, battalion of the 2nd Florida U.S. Cavalry, two U.S. Navy boat howitzers [US]; Kilcrease’s Artillery, Dunham’s Battery, Abell's Battery, 5th Florida Cavalry, 1st Florida Militia, Barwick’s Company Reserves, Hodges’ Company Reserves, Company A Milton Light Artillery, Companies A, B, and F - Florida Reserves [CS]",2301.8,344.42,2301.8
GA001,Fort Pulaski,Operations against Fort Pulaski (1862),http://www.nps.gov/hps/abpp/CWSII/Ezra Church to Griswoldville.pdf,GA,,Union victory,Union,Port Royal Expeditionary Force [US]; Fort Pulaski garrison [CS],8529.53,3657.49,7862
