"battle","start_date_1","end_date_1","outcome_cwsac1","significance","theater","campaign","casualties_total_cwsac","casualties_US_cwsac","casualties_CS_cwsac","casualties_mipat_cwsac","core_area","study_area","cwsac_name","outcome_cwsac2","start_date_2","end_date_2","strength_CS_cwsac","strength_US_cwsac","state","casualties_mipat_ken","casualties_total_ken","casualties_US_ken","casualties_CS_ken","strength_US_liv","strength_CS_liv","casualties_US_liv","casualties_CS_liv","outcome_liv","casualties_CS_phi","casualties_US_phi","outcome_bod","casualties_CS_bod","casualties_US_bod","strength_CS_bod","strength_US_bod","casualties_CS_fox","casualties_US_fox","outcome_fox","casualties_US_cdb90","casualties_CS_cdb90","strength_US_cdb90","strength_CS_cdb90","attacker_cdb90","outcome_cdb90","naval_battle","siege","outcome_dbp","dbpedia_uri","strength_US_wiki","strength_CS_wiki","casualties_US_wiki","casualties_CS_wiki","attacker","surrender","start_date","end_date","battle_name","duration","mid_date","battle_num","strength_US","casualties_US","strength_CS","casualties_CS","battle_name_short","outcome","lat","long"
"AL001","1863-04-30","1863-04-30","Union","C","Western","Streight's Raid in Alabama and Georgia [April 1863]",88,23,65,0,1084.76,5410.35,"Day’s Gap","Confederate","1863-04-30","1863-04-30",,,"AL",0,88,23,65,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Day's_Gap",1500,,23,65,"CS","None","1863-04-30","1863-04-30","Battle of Day's Gap",1,"1863-04-30",145,1440.8106521003,22.1103553355,1829.0715158812,64.1722653261,"Day's Gap","Union",34.3096,-87.011
"AL002","1864-01-26","1864-01-26","Union","D","Western","Operations in North Alabama [January 1864]",50,20,30,0,,,"Athens I","Union",,,,,"AL",0,50,20,30,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Athens_(1864)",100,600,20,30,"CS","None","1864-01-26","1864-01-26","Battle of Athens (1864)",1,"1864-01-26",216,96.5306804708,20.4411162769,615.6220034849,31.9860980007,"Athens (1864)","Union",34.8033,-86.9722
"AL003","1864-08-02","1864-08-23","Union","A","Western","Operations in Mobile Bay [August 1864]",1822,322,1500,0,16130.48,36916.74,"Mobile Bay","Union","1864-08-02","1864-08-23",,,"AL",0,1827,327,1500,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Mobile_Bay",5500,1500,328,1622,"US","Confederate complete","1864-08-02","1864-08-23","Battle of Mobile Bay",22,"1864-08-12",301,5072.7983624387,314.1072950392,1505.6754292272,1424.523509037,"Mobile Bay","Union",30.241,-88.053
"AL004","1864-10-26","1864-10-29","Union","C","Western","Franklin-Nashville Campaign [September-December 1864]",605,155,450,0,1148.87,14623.51,"Decatur","Confederate","1864-10-26","1864-10-29",,,"AL",0,355,155,200,,,,,,,,,,,,,,155,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Decatur",4000,39000,155,200,"CS","None","1864-10-26","1864-10-29","Battle of Decatur",4,"1864-10-28",330,3720.2205563585,151.9261308649,40114.0157175512,254.3811665794,"Decatur","Union",34.614,-86.986
"AL005","1865-03-27","1865-04-08","Union","B","Western","Mobile Campaign [March-April 1865]",1401,657,744,0,2282.27,3742.16,"Spanish Fort","Union","1865-03-27","1865-04-08",,,"AL",0,1398,657,741,,,,,,552,795,,,,,,,795,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Spanish_Fort",,,657,744,"US","None","1865-03-27","1865-04-08","Battle of Spanish Fort",13,"1865-04-02",370,19537.71649836,703.18309467,9326.7043955193,699.5154351432,"Spanish Fort","Union",30.6843,-87.9164
"AL006","1865-04-02","1865-04-09","Union","A","Western","Mobile Campaign [March-April 1865]",4475,798,3677,0,3743.28,6061.92,"Fort Blakely","Union","1865-04-02","1865-04-09",,,"AL",0,4475,775,3700,,,,,,2900,629,"Union",,,4000,45000,,629,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Blakely",45000,4000,629,2900,"US","Confederate complete","1865-04-02","1865-04-09","Battle of Fort Blakely",8,"1865-04-06",372,42099.5464754198,651.4204395249,4035.7847494554,3193.4934192013,"Fort Blakely","Union",30.7424,-87.927
"AL007","1865-04-02","1865-04-02","Union","B","Western","Wilson's Raid in Alabama and Georgia [April 1865]",3019,319,2700,0,4631.72,16158.48,"Selma","Union","1865-04-02","1865-04-02",,,"AL",0,3059,359,2700,,,,,,,,,,,,,,319,"Inconclusive",400,4000,13500,7000,"US","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Selma",13500,5000,359,2700,"US","Confederate partial","1865-04-02","1865-04-02","Battle of Selma",1,"1865-04-02",361,12745.2373853175,356.8917620342,5037.2254207175,3327.0638917533,"Selma","Union",32.424,-87.0237
"AL008",,,"Confederate","D","Western","Forrest’s Raid in Northern Alabama and Middle Tennessee [September 1864]",,,,,2274.85,21919.82,"Athens II","Confederate","1864-09-23","1864-09-25",,,"AL",,,,,,,,,,30,950,,,,,,,,,,,,,,,"FALSE","FALSE",,"http://dbpedia.org/resource/Battle_of_Sulphur_Creek_Trestle",2300,4500,2300,,"CS","Union complete","1864-09-23","1864-09-25","Battle of Sulphur Creek Trestle",3,"1864-09-24",308,2269.4233706966,1402.7824185029,4458.837458199,27.4539957823,"Sulphur Creek Trestle","Confederate",34.90936,-86.98814
"AR001","1862-03-06","1862-03-08","Union","A","Trans-Mississippi","Pea Ridge Campaign [March 1862]",5949,1349,4600,0,2078.97,9834.22,"Pea Ridge","Union","1862-03-06","1862-03-08",,,"AR",0,3384,1384,2000,11250,14000,1183,600,"Union",5200,1349,"Union",1600,1400,16000,12000,,1384,"Union",1384,1300,10500,16202,"CS","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Pea_Ridge",10500,16000,1384,2000,"CS","None","1862-03-06","1862-03-08","Battle of Pea Ridge",3,"1862-03-07",45,10051.3307296754,1281.1312354665,15872.8439648898,1937.263600556,"Pea Ridge","Union",36.4532,-94.0158
"AR002","1862-06-17","1862-06-17","Union","C","Trans-Mississippi","Operations on the White River [June 1862]",290,135,155,0,853.69,1830.99,"Saint Charles","Union","1862-06-17","1862-06-17",,,"AR",0,200,160,40,,,,,,,,,,,,,,,,,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Saint_Charles",,,177,26,"US","None","1862-06-17","1862-06-17","Battle of Saint Charles",1,"1862-06-17",74,2055.6831538979,161.8197618709,912.8901745387,55.0204834641,"Saint Charles","Union",34.3715467,-91.126083
