battle,cwsac_name,attacker,surrender
AL001,Day's Gap,CS,None
AL002,Athens I,CS,None
AL003,Mobile Bay,US,Confederate complete
AL004,Decatur,CS,None
AL005,Spanish Fort,US,None
AL006,Fort Blakely,US,Confederate complete
AL007,Selma,US,Confederate partial
AL008,Athens II,CS,Union complete
AR001,Pea Ridge,CS,None
AR002,Saint Charles,US,None
AR003,Hill's Plantation,US,None
AR004,Cane Hill,US,None
AR005,Prairie Grove,CS,None
AR006,Arkansas Post,US,Confederate complete
AR007,Chalk Bluff,US,None
AR008,Helena,CS,None
AR009,Devil's Backbone,CS,None
AR010,Bayou Fourche,US,None
AR011,Pine Bluff,CS,None
AR012,Elkin's Ferry,US,None
AR013,Prairie D'Ane,US,None
AR014,Poison Spring,CS,None
AR015,Marks' Mills,CS,None
AR016,Jenkin's Ferry,CS,None
AR017,Old River Lake,US,None
AR018,Bayou Meto,US,None
DC001,Fort Stevens,CS,None
FL001,Santa Rosa Island,CS,None
FL002,Tampa,US,None
FL003,Saint John's Bluff,US,None
FL004,Fort Brooke,US,None
FL005,Olustee,US,None
FL006,Natural Bridge,US,None
GA001,Fort Pulaski,US,Confederate complete
GA002,Fort McAllister I,US,None
GA003,Davis' Cross Roads,CS,None
GA004,Chickamauga,CS,None
GA005,Ringgold Gap,US,None
GA006,Dalton I,US,None
GA007,Rocky Face Ridge,US,None
GA008,Resaca,US,None
GA009,Adairsville,US,None
GA010,New Hope Church,US,None
GA011,Dallas,CS,None
GA012,Pickett's Mill,US,None
GA013,Marietta,US,None
GA014,Kolb's Farm,CS,None
GA015,Kennesaw Mountain,US,None
GA016,Peachtree Creek,CS,None
GA017,Atlanta,CS,None
GA018,Ezra Church,CS,None
GA019,Utoy Creek,US,None
GA020,Dalton II,CS,None
GA021,Lovejoy's Station,US,None
GA022,Jonesborough,CS,None
GA023,Allatoona,CS,None
GA025,Griswoldville,CS,None
GA026,Buck Head Creek,CS,None
GA027,Waynesborough,US,None
GA028,Fort McAllister II,US,None
IN001,Corydon,CS,None
KS002,Baxter Springs,CS,None
KS003,Mine Creek,US,None
KS004,Marais des Cygnes,US,None
KY001,Barbourville,CS,None
KY002,Camp Wildcat,US,None
KY003,Ivy Mountain,CS,None
KY004,Rowlett's Station,US,None
KY005,Middle Creek,US,None
KY006,Mill Springs,CS,None
KY007,Richmond,CS,Union partial
KY008,Munfordville,CS,Union complete
KY009,Perryville,US,None
KY010,Paducah,CS,None
KY011,Cynthiana,CS,None
LA001,Forts Jackson and St. Philip,US,Confederate complete
LA002,New Orleans,US,None
LA003,Baton Rouge,CS,None
LA004,Donaldsonville I,US,None
