battle_id,start_date,end_date,surrender,battle_name,state,us_killed,us_wounded,us_missing,us_losses,cs_losses,page,campaign
2262,1861-07-21,1861-07-21,0,"Bull Run, Va",VA,481,1011,1460,2952,1752,213,0
2263,1861-08-10,1861-08-10,0,"Wilson's Creek, Va",VA,223,721,291,1235,1095,213,0
2264,1861-09-12,1861-09-20,0,"Lexington, Mo",MO,42,108,1624,1774,100,213,0
2265,1861-10-21,1861-10-21,0,"Ball's Bluff, Va",VA,223,226,445,894,302,213,0
2266,1861-11-7,1861-11-7,0,"Belmont, Mo",MO,90,173,235,498,966,213,0
2267,1862-2-14,1862-2-16,0,"Fort Donelson, Tenn",TN,446,1735,150,2331,15067,213,0
2268,1862-3-6,1862-3-8,0,"Pea Ridge, Ark",AR,203,972,174,1349,5200,213,0
2269,1862-3-14,1862-3-14,0,"Newbern, N.C.",NC,91,466,0,557,583,213,0
2270,1862-3-23,1862-3-23,0,"Winchester, Tenn",TN,103,440,24,567,691,213,0
2271,1862-4-6,1862-4-7,0,"Shiloh, Tenn",TN,1735,7882,3956,13573,10699,213,0
2272,1862-5-5,1862-5-5,0,"Williamsburg, Va",VA,456,1400,372,2228,1000,213,0
2273,1862-5-23,1862-5-23,0,"Front Royal, Va",VA,32,122,750,904,,213,0
2274,1862-5-25,1862-5-25,0,"Winchester, Va",VA,38,155,711,904,,213,0
2275,1862-5-31,1862-6-1,0,"Seven Pines and Fair Oaks, Va",VA,890,3627,1222,5739,7997,213,0
2276,1862-6-8,1862-6-8,0,"Cross Keys, Va",VA,125,500,0,625,287,213,0
2277,1862-6-09,1862-6-09,0,"Fort Republic, Va",VA,67,361,574,1002,657,214,0
2278,1862-6-16,1862-6-16,0,"Secessionville, James Island, S.C.",SC,85,472,128,685,204,214,0
2279,1862-6-25,1862-6-25,0,"Oak Grove, Va",VA,51,401,64,516,541,214,0
2280,1862-6-26,1862-7-1,0,"Seven Day's retreat; includes Mechanicsville, Gaines' Mills, Chickahominy, Peach Orchard, Savage Station, Charles City Cross Roads, and Malvern Hill",VA,1582,7709,5958,15249,17583,214,1
2281,1862-7-13,1862-7-13,0,"Murfreesboro, Tenn",TN,33,62,800,895,150,214,0
2282,1862-8-8,1862-8-8,0,"Cedar Mountain, Va",VA,450,660,290,1400,1367,214,0
2283,1862-7-20,1862-9-20,0,Guerilla campaign in Missouri; includes with Porter's and Poindexter's Guerillas,MO,77,156,347,580,2866,214,1
2284,1862-8-28,1862-8-29,0,"Groveton and Gainesville, Va",VA,,,,7000,7000,214,0
2285,1862-8-30,1862-8-30,0,"Bull Run, Va (2d)",VA,800,4000,3000,7800,3700,214,0
2286,1862-8-30,1862-8-30,0,"Richmond, Ky",KY,200,700,4000,4900,750,214,0
2287,1862-9-1,1862-9-1,0,"Chantilly, Va",VA,,,,1300,800,214,0
2288,1862-9-12,1862-9-15,0,"Harper's Ferry, Va",VA,80,120,11583,11783,500,214,0
2289,1862-9-14,1862-9-14,0,"Turner's and Crampton's Gaps, South Mountain, Md",MD,443,1806,76,2325,4343,214,0
2290,1862-9-14,1862-9-16,0,"Mumfordsville, Ky",KY,50,0,3566,3616,714,214,0
2291,1862-9-17,1862-9-17,0,"Antietam, Md",MD,2010,9416,1043,12469,25899,214,0
2292,1862-9-19,1862-9-20,0,"Iuka, Miss",MS,144,598,40,782,1516,214,0
2293,1862-10-3,1862-10-4,0,"Corith, Miss",MS,315,1812,232,2359,14221,214,0
2294,1862-10-5,1862-10-5,0,"Big Hatchie River, Miss",MS,,,,500,400,214,0
2295,1862-10-8,1862-10-8,0,"Perryville, Ky",KY,916,2943,489,4348,7000,214,0
2296,1862-12-7,1862-12-7,0,"Prarie Grove, Ark",AR,167,798,183,1148,1500,214,0
2297,1862-12-7,1862-12-7,0,"Hartsville, Tenn",TN,55,0,1800,1855,149,215,0
2298,1862-12-12,1862-12-18,0,"Foster's expedition to Goldsboro, N.C.",NC,90,478,9,577,789,215,1
2299,1862-12-13,1862-12-13,0,"Fredericksburg, Va",VA,1180,9028,2145,12353,4576,215,0
2300,1862-12-20,1862-12-20,0,"Holly Springs, Miss",MS,0,0,1000,1000,,215,0
2301,1862-12-27,1862-12-27,0,"Elizabethtown, Ky",KY,0,0,500,500,,215,0
2302,1862-12-28,1862-12-29,0,"Chickasaw Bayou, Vicksburg, Miss",MS,191,982,756,1929,207,215,0
2303,1862-12-31,1863-1-2,0,"Stone's River, Tenn",TN,1533,7245,2800,11578,25560,215,0
2304,1863-1-1,1863-1-1,0,"Galveston, Texas",TX,0,0,600,600,50,215,0
2305,1863-1-11,1863-1-11,0,"Fort Hindman, Arkansas Post, Ark",AR,129,831,17,977,5500,215,0
2306,1863-3-4,1863-3-5,0,"Thompson's Station, Tenn",TN,100,300,1306,1706,600,215,0
2307,1863-4-27,1863-5-3,0,"Streight's raid from Tuscumbia, Ala., to Rome, Ga.",AL,12,69,1466,1547,,215,1
2308,1863-5-1,1863-5-1,0,"Port Gibson, Miss",MS,130,718,5,853,1650,215,0
2309,1863-5-1,1863-5-4,0,"Chancellorsville, Va.",VA,1512,9518,5000,16030,12281,215,0
2310,1863-5-16,1863-5-16,0,"Champion Mills, Miss",MS,426,1842,189,2457,4300,215,0
2311,1863-5-18,1863-7-4,0,"Siege of Vicksburg, Miss.",MS,545,3688,303,4536,31277,215,0
2312,1863-5-27,1863-7-9,0,"Siege of Port Hudson, La.",LA,500,2500,0,3000,7208,215,0
2313,1863-6-6,1863-6-8,0,"Milliken's Bend, La.",LA,154,223,115,492,725,215,0
2314,1863-6-9,1863-6-9,0,"Beverly Ford and Brandy Station, Va.",VA,,,,500,700,215,0
2315,1863-6-13,1863-6-15,0,"Winchester, Va.",VA,0,0,3000,3000,850,215,0
2316,1863-6-23,1863-6-30,0,"Rosecrans' campaign from Murfreesboro to Tullahoma, Tenn.",TN,85,462,13,560,1634,215,1
2317,1863-7-1,1863-7-3,0,"Gettysburg, Va.",VA,2834,13709,6643,23186,31621,215,0
2318,1863-7-9,1863-7-16,0,"Jackson, Miss",MS,100,800,100,1000,1339,215,0
2319,1863-7-18,1863-7-18,0,"Second assault on Fort Wagner, S.C.",SC,,,,1500,174,215,0
2320,1863-9-19,1863-9-20,0,"Chickamauga, Ga.",GA,1644,9262,4945,15851,17804,215,0
2321,1863-11-3,1863-11-3,0,"Grand Coteau, La.",LA,26,124,576,726,445,215,0
2322,1863-11-6,1863-11-6,0,"Rogersville, Tenn.",TN,5,12,650,667,30,215,0
2323,1863-11-23,1863-11-25,0,"Chattanooga, Tenn.; includes Orchard Knob, Lookout Mountain, and Missionary Ridge",TN,757,4529,330,5616,8684,215,1
2324,1863-11-26,1863-11-28,0,"Operations at Mine Run, Va.",VA,100,400,0,500,500,215,0
2325,1863-12-14,1863-12-14,0,"Bean's Station, Tenn.",TN,,,,700,900,215,0
2326,1864-2-20,1864-2-20,0,"Olustee, Fla.",FL,193,1175,460,1828,500,215,0
2327,1864-4-8,1864-4-8,0,"Sabine Cross Roads, La.",LA,200,900,1800,2900,1500,215,0
2328,1864-4-9,1864-4-9,0,"Pleasant Hills, La.",LA,100,700,300,1100,2000,215,0
2329,1864-4-12,1864-4-12,0,"Fort Pillow, Tenn.",TN,350,60,164,574,80,216,0
2330,1864-4-17,1864-4-20,0,"Plymouth, N.C.",NC,20,80,1500,1600,500,216,0
2331,1864-4-30,1864-4-30,0,"Jenkins' Ferry, Saline River, Ark.",AR,200,955,0,1155,1100,216,0
2332,1864-5-7,1864-5-7,0,"Wilderness, Va.",VA,5597,21463,10677,37737,11400,216,0
2333,1864-5-5,1864-5-9,0,"Rocky Face Ridge, Ga.; includes Tennell Hill, Mill Creek gap, Buzzard Roost, Snake Creek Gap, and near Dalton",GA,200,637,0,837,600,216,0
2334,1864-5-8,1864-5-18,0,"Spottsylvania Court House Va.; includes engagements on the Fredericksburg Road, Laurel Hill, and Nye River",VA,4177,19687,2577,26461,9000,216,0
2335,1864-5-9,1864-5-10,0,"Swift Creek, Va.",VA,90,400,0,490,500,216,0
2336,1864-5-9,1864-5-10,0,"Cloyd's Mountain and New River Bridge, Va.",VA,126,585,34,745,900,216,0
2337,1864-5-12,1864-5-16,0,"Fort Darling, Drury's Bluff, Va.",VA,422,2380,210,3012,2500,216,0
2338,1864-5-13,1864-5-16,0,"Resaca, Ga.",GA,600,2147,0,2747,2800,216,0
2339,1864-5-15,1864-5-15,0,"New Market, Va.",VA,120,560,240,920,405,216,0
2340,1864-5-16,1864-5-30,0,"Bermuda Hundred, Va.",VA,200,1000,0,1200,3000,216,0
2341,1864-5-23,1864-5-27,0,"North Anna River, Va.",VA,223,1460,290,1973,2000,216,0
2342,1864-5-25,1864-6-4,0,"Dallas, Ga.",GA,,,,2400,3000,216,0
2343,1864-6-1,1864-6-12,0,"Cold Harbor, Va.",VA,1905,10570,2456,14931,1700,216,0
2344,1864-6-5,1864-6-5,0,"Piedmont, Va.",VA,130,650,0,780,2970,216,0
2345,1864-6-9,1864-6-30,0,"Kenesaw Mountain, Ga.; includes Pine Mountain, Pine Knob, Golgotha, Culp's House, general assault, June 27th; McAfee's Cross Roads, Lattemore's Mills, and Powder Springs.",GA,1370,6500,800,8670,4600,216,1
2346,1864-6-10,1864-6-10,0,"Brice's Cross Roads, near Guntown, Miss.",MS,223,394,1623,2240,606,216,0
2347,1864-6-10,1864-6-10,0,"Kellar's Bridge, Licking River, Ky.",KY,13,54,700,767,,217,0
2348,1864-6-11,1864-6-12,0,"Trevellian Station, Central Railroad, Va.",VA,85,490,160,735,370,217,0
2349,1864-6-15,1864-6-19,0,"Petersburg, Va.; includes Baylor's Farm, Walthal, and Weir Bottom Church",VA,1298,7474,1814,10586,,217,0
2350,1864-6-17,1864-6-19,0,"Lynchburg, Va.",VA,100,500,400,700,200,217,0
2351,1864-6-20,1864-6-30,0,"Trenches in front of Petersburg, Va.",VA,112,506,800,1418,,217,1
2352,1864-6-22,1864-6-30,0,"Wilson's raid on the Weldon Railroad, Va.",VA,76,265,700,1041,300,217,1
2353,1864-6-22,1864-6-23,0,"Weldon Railroad, Va.",VA,604,2494,2217,5315,500,217,0
2354,1864-6-27,1864-6-27,0,"Kenesaw Mountain, general assault. See No. 2345",GA,,,,3000,600,217,0
2355,1864-7-1,1864-7-31,0,"Front of Petersburg, Va.; losses at the Crater and Deep Bottom not included.",VA,419,2076,1200,3695,,217,1
2356,1864-7-6,1864-7-10,0,"Chattahoochee River, Ga.",GA,80,450,200,730,600,217,0
2357,1864-7-9,1864-7-9,0,"Monocacy, Md.",MD,90,579,1290,1959,400,217,0
2358,1864-7-13,1864-7-15,0,"Tupleo, Miss.; includes Harrisburg and Old Town Creek.",MS,85,563,0,648,700,217,0
2359,1864-7-20,1864-7-20,0,"Peach Tree Creek, Ga.",GA,300,1410,0,1710,4796,217,0
2360,1864-7-22,1864-7-22,0,"Atlanta, Ga.; Hood's first sortie.",GA,500,2141,1000,3641,8499,217,0
2361,1864-7-24,1864-7-24,0,"Winchester, Va.",VA,,,,1200,600,217,0
2362,1864-7-26,1864-7-31,0,"Stoneman's raid to Macon, Ga.",GA,0,100,900,1000,,217,0
2363,1864-7-26,1864-7-31,0,"McCook's raid to Lovejoy Station, Ga.",GA,0,100,500,600,,217,0
2364,1864-7-28,1864-7-28,0,"Ezra Chapel, Atlanta, Ga.; second sortie",GA,100,600,0,700,4642,217,0
2365,1864-7-30,1864-7-30,0,"Mine explosion at Petersburg, Va.",VA,419,1679,1910,4008,1200,217,0
2366,1864-8-1,1864-8-31,0,"Trenches before Petersburg, Va.",VA,87,484,0,571,,217,1
2367,1864-8-14,1864-8-18,0,"Strawberry Plains, Deep Bottom Run, Va.",VA,400,1755,1400,3555,1100,217,0
2368,1864-8-18,1864-8-21,0,"Six Mile House, Weldon Railroad, Va.",VA,212,1155,3176,4543,4000,217,0
2369,1864-8-21,1864-8-21,0,"Summit Point, Va.",VA,,,,600,400,217,0
2370,1864-8-25,1864-8-25,0,"Ream's Station, Va.",VA,127,546,1769,2442,1500,217,0
2371,1864-8-31,1864-9-1,0,"Jonesboro, Ga.",GA,0,1149,0,1149,2000,217,0
2372,1864-5-5,1864-9-8,0,"Campaign in Northern Georgia, from Chattanooga, Tenn., to Atlanta, Ga.",TN,5284,26129,5786,37199,,217,1
2373,1864-9-1,1864-10-30,0,"Trenches before Petersburg, Va.",VA,170,822,812,1804,1000,217,1
2374,1864-9-19,1864-9-19,0,"Apequan, Winchester, Va.",VA,653,3719,618,4990,5500,217,0
2375,1864-9-23,1864-9-23,0,"Athens, Ala.",AL,0,0,950,950,30,217,0
2376,1864-9-24,1864-10-28,0,Price's invasion of Missouri; includes a number of engagements.,MO,170,336,0,506,,217,1
2377,1864-9-28,1864-9-30,0,"New Market Heights, Va.",VA,400,2029,0,2429,2000,217,0
2378,1864-9-30,1864-10-1,0,"Preble's Farm, Poplar Springs Church, Va.",VA,141,788,1756,2685,900,217,0
2379,1864-10-5,1864-10-5,0,"Allatoona, Ga.",GA,142,352,212,706,1142,217,0
2380,1864-10-19,1864-10-19,0,"Cedar Creek, Va.",VA,588,3516,1891,5995,4200,218,0
2381,1864-10-27,1864-10-27,0,"Hatcher's Run, South Side Railroad, Va.",VA,156,1047,699,1902,1000,218,0
2382,1864-10-27,1864-10-28,0,"Fair Oaks, near Richmond, Va.",VA,120,783,400,1303,451,218,0
2383,1864-11-28,1864-11-28,0,"Fort Kelly, New Creek, West Va.",VA,0,0,700,700,5,218,0
2384,1864-11-30,1864-11-30,0,"Franklin, Tenn.",TN,189,1033,1104,2326,6252,218,0
2385,1864-11-30,1864-11-30,0,"Honey Hill, Broad River, S.C.",SC,66,645,0,711,,218,0
2386,1864-12-6,1864-12-9,0,"Deveaux's Neck, S.C.",SC,39,390,200,629,400,218,0
2387,1864-12-15,1864-12-16,0,"Nashville, Tenn.",TN,400,1740,0,2140,15000,218,0
2388,1865-1-11,1865-1-11,0,"Beverly, West Va.",WV,5,20,583,608,,218,0
2389,1865-1-13,1865-1-15,0,"Fort Fisher, N.C.",NC,184,749,22,955,2483,218,0
2390,1865-2-5,1865-2-7,0,"Dabney's Mills, Hatcher's Run, Va.",VA,232,1062,186,1480,1200,218,0
2391,1865-3-8,1865-3-10,0,"Wilcox's Bridge, Wise's Fork, N.C.",NC,80,421,600,1101,1500,218,0
