cwsac,combatant,forces_text,description,armies,artillery_batteries,brigades,cavalry_brigades,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,gunboats,ironclads,rams,regiments,ships,strength,strength_max,strength_min,wooden_ships
GA001,CS,The Port Royal Expeditionary Force's Fort Pulaski investment troops [US]; Fort Pulaski Garrison [CS],Fort Pulaski Garrison,,,,,,,,,,,,,,,,,,,
GA001,US,The Port Royal Expeditionary Force's Fort Pulaski investment troops [US]; Fort Pulaski Garrison [CS],The Port Royal Expeditionary Force's Fort Pulaski investment troops,,,,,,,,,,,,,,,,,,,
GA004,CS,The Army of the Cumberland [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA004,US,The Army of the Cumberland [US]; Army of Tennessee [CS],The Army of the Cumberland,1,,,,,,,,,,,,,,,,,,
TN016,CS,"Army of Kentucky [US]; 1st Cavalry Corps, Army of Tennessee [CS]","1st Cavalry Corps, Army of Tennessee",,,,,1,,,,,,,,,,,,,,
TN016,US,"Army of Kentucky [US]; 1st Cavalry Corps, Army of Tennessee [CS]",Army of Kentucky,1,,,,,,,,,,,,,,,,,,
GA014,CS,Two corps [US]; Hood s Corps [CS],Hood s Corps,,,,,,,,,1,,,,,,,,,,
GA014,US,Two corps [US]; Hood s Corps [CS],Two corps,,,,,,,,,2,,,,,,,,,,
NC013,CS,9 gunboats [US]; Confederate ram [CS],Confederate ram,,,,,,,,,,,,,,,1,,,,
NC013,US,9 gunboats [US]; Confederate ram [CS],9 gunboats,,,,,,,,,,,9,,,,,,,,
GA019,CS,Army of the Ohio [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA019,US,Army of the Ohio [US]; Army of Tennessee [CS],Army of the Ohio,1,,,,,,,,,,,,,,,,,,
VA082,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA082,US,Divisions,,,,,,,,,,,1,,,,,,,,,
TN033,CS,"Governor's Guard Brigade, State of Tennessee [US]; Department of Western Virginia and East Tennessee (approx. 2,400) [CS]","Department of Western Virginia and East Tennessee (approx. 2,400)",,,,,,,,,,,,,,,,,2400,2400,
TN033,US,"Governor's Guard Brigade, State of Tennessee [US]; Department of Western Virginia and East Tennessee (approx. 2,400) [CS]","Governor's Guard Brigade, State of Tennessee",,,1,,,,,,,,,,,,,,,,
LA006,CS,"Banks's Department of the Gulf, XIX Army Corps [US]; District of Western Louisiana [CS]",District of Western Louisiana,,,,,,,,,,,,,,,,,,,
LA006,US,"Banks's Department of the Gulf, XIX Army Corps [US]; District of Western Louisiana [CS]","Banks's Department of the Gulf, XIX Army Corps",,,,,,,,,,,,,,,,,,,
VA025,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA025,US,Divisions,,,,,,,,,,,1,,,,,,,,,
MO026,CS,"1st Division, Army of the Border and provisional cavalry division [US]; Shelby and Marmaduke's Divisions [CS]",Shelby and Marmaduke's Divisions,,,,,,,,,,2,,,,,,,,,
MO026,US,"1st Division, Army of the Border and provisional cavalry division [US]; Shelby and Marmaduke's Divisions [CS]","1st Division, Army of the Border and provisional cavalry division",,,,,,1,,,,1,,,,,,,,,
MD006,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
MD006,US,Divisions,,,,,,,,,,,1,,,,,,,,,
NC020,CS,Sherman's Right Wing (XX and XIV Corps) [US]; Johnston's Army [CS],Johnston's Army,1,,,,,,,,,,,,,,,,,,
NC020,US,Sherman's Right Wing (XX and XIV Corps) [US]; Johnston's Army [CS],Sherman's Right Wing (XX and XIV Corps),,,,,,,,,2,,,,,,,,,,
VA059,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA059,US,Brigades,,,,1,,,,,,,,,,,,,,,,
NM001,CS,Department of New Mexico (combination of regular and volunteer units) [US]; Army of New Mexico [CS],Army of New Mexico,,,,,,,,,,,,,,3,,,,,
NM001,US,Department of New Mexico (combination of regular and volunteer units) [US]; Army of New Mexico [CS],Department of New Mexico (combination of regular and volunteer units),,,,,,,,,,,,,,,,,,,
VA017,CS,"91,232 total (US 34,214; CS 57,018)","57,018",,,,,,,,,,,,,,,,,57018,57018,
VA017,US,"91,232 total (US 34,214; CS 57,018)","34,214",,,,,,,,,,,,,,,,,34214,34214,
SC011,CS,"Divisions: 6,200 total (US 5,000; CS 1,200)","1,200",,,,,,,,,,,,,,,,,1200,1200,
SC011,US,"Divisions: 6,200 total (US 5,000; CS 1,200)","5,000",,,,,,,,,,,,,,,,,5000,5000,
