battle,combatant,fullname,rank
WV016,CS,Robert E. Lee,General
WV016,CS,William Pendleton,Brigadier General
WV016,CS,A.P. Hill,Major General
WV016,US,George B. McClellan,Major General
WV016,US,Fitz John Porter,Major General
GA021,CS,William H. Jackson,Brigadier General
GA021,CS,Daniel Reynolds,Brigadier General
GA021,US,Judson Kilpatrick,Brigadier General
VA069,CS,Charles Field,Major General
VA069,US,Winfield Scott Hancock,Major General
ND003,US,Henry Hastings Sibley,Brigadier General
ND003,I,Inkpaduta,Chief
SC005,CS,Robert F. Graham,Colonel
SC005,US,Quincy A. Gilmore,Major General
SC005,US,George C. Strong,Brigadier General
SC005,US,John A. Dahlgren,Rear Admiral
MO021,CS,Sterling Price,Major General
MO021,US,"Thomas Ewing , Jr.",Brigadier General
VA124,CS,Fitzhugh Lee,Major General
VA124,US,George A. Custer,Major General
TN034,CS,John Bell Hood,General
TN034,US,John M. Schofield,Major General
TN001,CS,Lloyd Tilghman,Brigadier General
TN001,US,Ulysses S. Grant,Brigadier General
TN001,US,A.H. Foote,Flag Officer
AL005,CS,Randall L. Gibson,Brigadier General
AL005,US,E.R.S. Canby,Major General
VA082,CS,John C. Breckinridge,Major General
VA082,US,George Stoneman,Major General
GA013,CS,Joseph E. Johnston,General
GA013,US,William T. Sherman,Major General
VA014,CS,Joseph E. Johnston,General
VA014,CS,G.W. Smith,Major General
VA014,US,George B. McClellan,Major General
VA062,CS,Robert E. Lee,General
VA062,US,Ulysses S. Grant,Lieutenant General
VA062,US,George G. Meade,Major General
GA014,CS,John B. Hood,Lieutenant General
GA014,US,Joseph Hooker,Major General
GA014,US,John M. Schofield,Major General
MO024,CS,John S. Marmaduke,Major General
MO024,CS,Joseph O. Shelby,Brigadier General
MO024,CS,Sterling Price,Major General
MO024,US,Thomas Moonlight,Colonel
MO024,US,James G. Blunt,Major General
VA076,CS,Alfred E. Jackson,Brigadier General
VA076,US,Stephen Burbridge,Brigadier General
TN017,CS,Alexander P. Stewart,Major General
TN017,US,William S. Rosecrans,Major General
TN017,US,George H. Thomas,Major General
SC007,CS,William B. Talliferro,Brigadier General
SC007,US,Quincy A. Gilmore,Major General
SC007,US,Truman A. Seymour,Brigadier General
SC007,US,John A. Dahlgren,Rear Admiral
KY011,CS,John Hunt Morgan,Brigadier General
KY011,US,Stephen G. Burbridge,Brigadier General
VA058,CS,Fitzhugh Lee,Major General
VA058,CS,Wade Hampton,Major General
VA058,US,David M. Gregg,Brigadier General
TN021,CS,Micah Jenkins,Brigadier General
TN021,US,Joseph Hooker,Major General
TN021,US,John W. Geary,Brigadier General
VA075,CS,Robert E. Lee,General
VA075,CS,Richard S. Ewell,Lieutenant General
VA075,US,Benjamin Butler,Major General
VA033,CS,Lafayette McLaws,Major General
VA033,CS,Cadmus M. Wilcox,Brigadier General
VA033,US,John Sedgwick,Major General
TN033,CS,John C. Breckinridge,Major General
TN033,US,Alvan C. Gillem,Brigadier General
VA119,CS,Jubal A. Early,Lieutenant General
VA119,US,Philip Sheridan,Major General
VA013,US,Fitz John Porter,Brigadier General
MO016,CS,Douglas H. Cooper,Colonel
MO016,US,Edward Lynde,Colonel
MO016,US,Fredrich Salomon,Brigadier General
TN003,CS,Albert Sidney Johnston,General
TN003,CS,P.G.T. Beauregard,General
TN003,US,Ulysses S. Grant,Major General
TN003,US,Don Carlos Buell,Major General
TN003,US,William Gwin,Lieutenant
LA021,CS,Hamilton P. Bee,Brigadier General
LA021,US,Nathaniel P. Banks,Major General
AL002,CS,Nathan Bedford Forrest,Major General
AL002,US,Wallace Campbell,Colonel
AL002,US,Jonas Elliott,Lieutenant Colonel
AL002,US,W. H. Lathrop,Colonel
AL002,US,George Spalding,Colonel
KY003,CS,John S. Williams,Colonel
KY003,US,William Nelson,Brigadier General
KY003,US,Joshua W. Sill,Colonel
GA018,CS,Stephen D. Lee,Lieutenant General
GA018,CS,Alexander P. Stewart,Lieutenant General
GA018,US,Oliver O. Howard,Major General
WV001,CS,George A. Porterfield,Colonel
WV001,US,Thomas A. Morris,Brigadier General
SC008,US,William Quincy A. Gilmore,Major General
SC008,US,John A. Dahlgren,Rear Admiral
VA090,CS,Henry Heth,Major General
VA090,CS,Cadmus Wilcox,Major General
VA090,US,Nelson A. Miles,Major General
WV003,CS,John Pegram,Lieutenant Colonel
WV003,US,George B. McClellan,Major General
WV003,US,William S. Rosecrans,Brigadier General
KY001,CS,Joel A. Battle,Colonel
KY001,US,Isaac J. Black,Captain
GA017,CS,John B. Hood,General
GA017,US,William T. Sherman,Major General
GA017,US,James B. McPherson,Major General
GA017,US,John A. Logan,Major General
