cwsacid	total	US_min	US_max	CS_min	CS_max	I	partic	description
AL001		23		65			CS US	23 US, 65 CS
AL002		20		30			CS US	20 US, 30 CS
AL003		327		1500			CS US	327 US, 1,500 CS
AL004		155		200			CS US	155 US, 200 CS
AL005		657		741			CS US	657 US, 741 CS
AL006		775		3700			CS US	775 US, 3,700 (including 3,200 prisoners) CS
AL007		359		2700			CS US	359 US, 2,700 CS
AR001		1384		2000			CS US	1,384 US, 2,000 CS
AR002		160		40			CS US	160 US, 40 CS
AR003		63		250			CS US	63 US, 250 CS
AR004		41		45			CS US	41 US, 45 CS
AR005		1251		1317			CS US	1,251 US, 1,317 CS
AR006		1092		5004			CS US	1,092 US, 5,004 CS
AR007	100						CS US	fewer than 100
AR008		239		1636			CS US	239 US, 1,636 CS
AR009		14		17			CS US	14 US, 17 CS
AR010		72		64			CS US	72 US, 64 CS
AR011		56		40			CS US	56, including 17 freedmen, US, 40 CS
AR012		26		29			CS US	26 US, 29 CS
AR013		100		50			CS US	100 US, 50 CS
AR014		301		114			CS US	301 US, 114 CS
AR015		1500		293			CS US	1,500 US, 293 CS
AR016		700		1000			CS US	700 US, 1,000 CS
AR017		133		37			CS US	133 US, 37 CS
CO001		48				150	I US	48 US, 150 Southern Cheyenne and Southern Arapaho
DC001		373		500			CS US	373 US, 500 CS
FL001		67		87			CS US	67 US, 87 CS
FL002	0	0		0			CS US	none
FL003							CS US	unknown
FL004		16					CS US	16 US, unknown CS
FL005		1861		946			CS US	1,861 US, 946 CS
FL006		148		25			CS US	148 US, 25 CS
GA001		1		1			CS US	1 US, 1 CS
GA002		0		1			CS US	0 US, 1 CS
GA003							CS US	unknown
GA004		16170		18454			CS US	16,170 US, 18,454 CS
GA005		507		221			CS US	507 US, 221 CS
GA006		289		140			CS US	289 US, 140 CS
GA007		837		600			CS US	837 US, 600 CS
GA008		2747		2800			CS US	2,747 US, 2,800 CS
GA009		200					CS US	200 US, unknown CS
GA010		665		350			CS US	665 US, 350 CS
GA011		380		1000	1500		CS US	380 US, 1,000-1,500 CS
GA012		1600		450			CS US	1,600 US, 450 CS
GA013							CS US	unknown
GA014		350		1000			CS US	350 US, 1,000 CS
GA015		3000		1000			CS US	3,000 US, 1,000 CS
GA016		1710		4796			CS US	1,710 US, 4,796 CS
