battle,event_type,state,year,battle_name,start_date,end_date,text,cas_k,cas_w,cas_m,cas_mp,cas_kwm,cas_total
1,Seizure,AL,1861,Jan. 4: Seizure of Mt. Vernon Arsenal,1861-01-04,1861-01-04,By State Troops.,,,,,,
2,Seizure,AL,1861,Jan. 5: Seizure of Forts Morgan and Gaines,1861-01-05,1861-01-05,By State Troops.,,,,,,
3,Adoption,AL,1861,"Jan. 11: Adoption, at Montgomery, of Secession Ordinance.",1861-01-11,1861-01-11,,,,,,,
4,Expedition,AL,1862,Feb. 6-10: Expedition to Florence,1862-02-06,1862-02-10,"U. S. Gunboats ""Conestoga,"" ""Lexington"" and ""Tyler.""",,,,,,
5,Occupation,AL,1862,April 11: Occupation of Huntsville,1862-04-11,1862-04-11,INDIANA--5th Indpt. Battery Light Arty.; 37th Infantry. ILLINOIS--19th and 24th Infantry. OHIO--4th Cavalry; 18th Infantry.,,,,,,
6,Occupation,AL,1862,April 16: Occupation of Decatur,1862-04-16,1862-04-16,ILLINOIS--24th Infantry.,,,,,,
7,Occupation,AL,1862,April 16: Occupation of Tuscumbia,1862-04-16,1862-04-16,ILLINOIS--19th Infantry.,,,,,,
8,Skirmish,AL,1862,"April 23: Skirmish, Bridgeport",1862-04-23,1862-04-23,OHIO--4th Cavalry.,,,,,,
9,Action,AL,1862,"April 24: Action, Tuscumbia",1862-04-24,1862-04-24,ILLINOIS--19th Infantry.,,,,,,
10,Skirmish,AL,1862,"April 25: Skirmish, Tuscumbia",1862-04-25,1862-04-25,OHIO--4th Cavalry.,,,,,,
11,Skirmish,AL,1862,"April 27: Skirmish, Bridgeport",1862-04-27,1862-04-27,OHIO--3d Infantry.,,,,,,
12,Skirmish,AL,1862,"April 28: Skirmish, Bolivar",1862-04-28,1862-04-28,OHIO--4th Cavalry.,,,,,,
13,Skirmish,AL,1862,"April 28: Skirmish, Paint Rock Bridge",1862-04-28,1862-04-28,"WISCONSIN--10th Infantry (Detachment). Loss, 7 killed.",0,0,0,0,7,7
14,Action,AL,1862,"April 29: Action, West Bridge, near Bridgeport",1862-04-29,1862-04-29,"INDIANA--42d Infantry. OHIO--4th Cavalry; Battery ""E,"" 1st Light Arty.; 2d, 3d and 10th Infantry.",,,,,,
15,Skirmish,AL,1862,"May 1: Skirmish, Bridgeport",1862-05-01,1862-05-01,OHIO--18th Infantry.,,,,,,
16,Occupation,AL,1862,"May 1-2: Operations near Athens, Limestone Bridge, Mooresville and Elk River",1862-05-01,1862-05-02,INDIANA--37th Infantry. ILLINOIS--19th and 24th Infantry. OHIO--18th Infantry.,,,,,,
17,Skirmish,AL,1862,"May 8: Skirmish, Athens",1862-05-08,1862-05-08,OHIO--4th Cavalry.,,,,,,
18,Skirmish,AL,1862,"May 9: Skirmish, Elkton Station, near Athens",1862-05-09,1862-05-09,"INDIANA--37th Infantry (Co. ""E""). Union loss, 5 killed, 43 wounded. Total, 48.",,43,,,5,48
19,Skirmish,AL,1862,"May 10: Skirmish, Lamb's Ferry",1862-05-10,1862-05-10,KENTUCKY--5th Cavalry (Detachment). PENNSYLVANIA--7th Cavalry (Detachment).,,,,,,
20,Expedition,AL,1862,May 13-14: Expedition to Rodgersville,1862-05-13,1862-05-14,"KENTUCKY--5th Cavalry. INDIANA--38th Infantry. OHIO--Battery ""B,"" 1st Light Arty. PENNSYLVANIA--7th Cavalry (Detachment); 78th and 79th Infantry. WISCONSIN--1st Infantry.",,,,,,
21,Skirmish,AL,1862,"May 14: Skirmish, Lamb's Ferry",1862-05-14,1862-05-14,"KENTUCKY--5th Cavalry (Detachment). OHIO--Battery ""B,"" 1st Light Arty. PENNSYLVANIA--7th Cavalry (Detachment); 79th Infantry.",,,,,,
22,Skirmish,AL,1862,"May 29: Skirmish, Whitesburg",1862-05-29,1862-05-29,OHIO--4th Cavalry.,,,,,,
23,Skirmish,AL,1862,"June 4-5: Skirmishes, Huntsville",1862-06-04,1862-06-05,OHIO--4th Cavalry.,,,,,,
24,Skirmish,AL,1862,"July 2: Skirmish, Huntsville",1862-07-02,1862-07-02,OHIO--4th Cavalry.,,,,,,
25,Skirmish,AL,1862,July 3: Skirmish near Russellville,1862-07-03,1862-07-03,"OHIO--1st Cavalry (Cos. ""B"" and ""G""). Union loss, 2 killed, 5 wounded. Total, 7.",,5,,,2,7
26,Skirmish,AL,1862,July 12: Skirmish near Davis Gap,1862-07-12,1862-07-12,"OHIO--1st Cavalry (Detachment). Union loss, 5 wounded, 2 missing. Total, 7.",,5,2,,,7
27,Expedition,AL,1862,July 12-16: Expedition from Decatur,1862-07-12,1862-07-16,INDIANA--51st Infantry. OHIO--1st Cavalry (Detachment).,,,,,,
28,Skirmish,AL,1862,"July 24: Skirmish, Trinity",1862-07-24,1862-07-24,"OHIO--31st Infantry (Co. ""E""). Union loss, 2 killed, 11 wounded. Total, 13.",,11,,,2,13
29,Skirmish,AL,1862,"July 24: Skirmish, Pond Springs",1862-07-24,1862-07-24,OHIO--1st Cavalry.,,,,,,
30,Occupation,AL,1862,July 25: Operations near Courtland and Trinity,1862-07-25,1862-07-25,"KENTUCKY--10th Infantry. OHIO--1st Cavalry (Detachment); 31st Infantry. Union loss, 3 killed, 21 wounded, 80 missing. Total, 104.",,21,80,,3,104
31,Action,AL,1862,"July 25: Action, Courtland Bridge",1862-07-25,1862-07-25,"KENTUCKY--10th Infantry (Cos. ""A"" and ""H""). OHIO--1st Cavalry (Detachment).",,,,,,
32,Skirmish,AL,1862,"July 26: Skirmish, Spangler's Mills",1862-07-26,1862-07-26,"MICHIGAN--3d Cavalry (Cos. ""H,"" ""L"" and ""M"").",,,,,,
33,Skirmish,AL,1862,"July 26: Skirmish, near Jonesborough",1862-07-26,1862-07-26,"MICHIGAN--3d Cavalry (Cos. ""H,"" ""L"" and ""M"").",,,,,,
34,Expedition,AL,1862,July 27-30: Expedition from Woodville to Guntersville,1862-07-27,1862-07-30,"KENTUCKY--15th Infantry. MICHIGAN--Battery ""A,"" 1st Light Arty. (Section). OHIO--3d Cavalry (3d Battalion).",,,,,,
35,Skirmish,AL,1862,"July 28: Skirmish, Stevenson",1862-07-28,1862-07-28,OHIO--4th Cavalry.,,,,,,
36,Skirmish,AL,1862,"July 28: Skirmishes, Guntersville and Laws Landing",1862-07-28,1862-07-28,"KENTUCKY--15th Infantry. MICHIGAN--Battery ""A,"" 1st Light Arty. (Section). OHIO--3d Cavalry (3d Battalion).",,,,,,
37,Skirmish,AL,1862,"July 29: Skirmish, Old Deposit Ferry",1862-07-29,1862-07-29,"KENTUCKY--15th Infantry. MICHIGAN--Battery ""A,"" 1st Light Arty. (Section). OHIO--3d Cavalry (3d Battalion).",,,,,,
38,Affair,AL,1862,Aug. 4: Affair near Woodville,1862-08-04,1862-08-04,"OHIO--3d Cavalry, picket attack.",,,,,,
39,Affair,AL,1862,Aug. 5: Affair near New Market,1862-08-05,1862-08-05,Gen. R. L. McCook and Escort. Gen. McCook killed.,,,,,,
40,Reconn,AL,1862,Aug. 5-7: Reconn. from Woodville to Guntersville,1862-08-05,1862-08-07,OHIO--3d Cavalry (Detachment).,,,,,,
41,Skirmish,AL,1862,"Aug. 7: Skirmish, Decatur",1862-08-07,1862-08-07,OHIO--14th and 38th Infantry (Detachments).,,,,,,
42,Scout,AL,1862,Aug. 19-20: Scout from Woodville to Guntersville,1862-08-19,1862-08-20,"OHIO--3d Cavalry (Cos. ""A"" and ""D"").",,,,,,
43,Skirmish,AL,1862,"Aug. 22: Skirmish, Trinity",1862-08-22,1862-08-22,ILLINOIS--7th Cavalry (Detachment).,,,,,,
44,Affair,AL,1862,Aug. 23: Affair near Trinity,1862-08-23,1862-08-23,Train Guard.,,,,,,
45,Skirmish,AL,1862,"Aug. 27: Skirmish, Bridgeport",1862-08-27,1862-08-27,"OHIO--4th Cavalry (Detachment); 33d Infantry (4 Cos.). Union loss, 1 killed, 9 wounded. Total, 10.",,9,,,1,10
46,Skirmish,AL,1862,Aug. 30: Skirmish near Larkinsville,1862-08-30,1862-08-30,(No Reports.),,,,,,
47,Evacuation,AL,1862,Aug. 31: Evacuation of Huntsville,1862-08-31,1862-08-31,(No Reports.),,,,,,
48,Skirmish,AL,1862,"Aug. 31: Skirmish, Stevenson",1862-08-31,1862-08-31,(Confederate Reports.),,,,,,
49,Skirmish,AL,1862,"Sept. 1: Skirmish, Huntsville",1862-09-01,1862-09-01,OHIO--4th Cavalry.,,,,,,
50,Skirmish,AL,1862,"Oct. 5: Skirmish, Tuscumbia River",1862-10-05,1862-10-05,"MISSOURI--Battery ""M,"" 1st Light Arty.",,,,,,
51,Skirmish,AL,1862,"Nov. 28: Skirmish, Little Bear Creek",1862-11-28,1862-11-28,"ILLINOIS--52d Infantry. INDIANA--66th Infantry. IOWA--2d and 7th Infantry. Union loss, 4 killed, 14 wounded. Total, 18.",,14,,,4,18
52,Action,AL,1862,"Dec. 9: Action, Bear Creek",1862-12-09,1862-12-09,"MISSOURI--Battery ""I,"" 1st Light Arty.",,,,,,
53,Skirmish,AL,1862,"Dec. 12: Skirmish, Cherokee Station",1862-12-12,1862-12-12,ALABAMA--1st Cavalry.,,,,,,
54,Skirmish,AL,1862,"Dec. 12: Skirmish, Little Bear Creek",1862-12-12,1862-12-12,"ILLINOIS--52d Infantry. INDIANA--66th Infantry. IOWA--2d and 7th Infantry. Union loss, 1 killed, 2 missing. Total, 3.",,,2,,1,3
55,Skirmish,AL,1863,"Feb. 22: Skirmish, Glendale",1863-02-22,1863-02-22,MISSOURI--10th Cavalry.,,,,,,
56,Action,AL,1863,"Feb. 22: Action, Tuscumbia",1863-02-22,1863-02-22,ALABAMA--1st Cavalry. KANSAS--7th Cavalry. OHIO--5th Cavalry (3d Battalion).,,,,,,
