unit_type	regiment	battle	division	corps	killed	note
Heavy Artillery	1st Maine1	Petersburg	Birney's	Second	210	This regiment appears again in this same list. Assault of June 18, 1864.
Heavy Artillery	8th New York	Cold Harbor	Gibbon's	Second	207
Heavy Artillery	1st Maine	Spotsylvania	Tyler's	Second	147	Fredericksburg Pike, May 19, 1864.
Heavy Artillery	2d Connecticut	Cold Harbor	Russell's	Sixth	129
Heavy Artillery	7th New York	Cold Harbor	Barlow's	Second	127	This regiment appears again in this same list.
Heavy Artillery	1st Massachusetts	Spotsylvania	Tyler's	Second	120	This regiment appears again in this same list. Fredericksburg Pike, May 19, 1864.
Heavy Artillery	9th New York	Cedar Creek	Ricketts's	Sixth	64	This regiment appears again in this same list.
Heavy Artillery	2d Pennsylvania	Petersburg	Willcox's	Ninth	64	Assault of June 17, 1864.
Heavy Artillery	14th New York	Petersburg	Willcox's	Ninth	57	Assault of June 17, 1864.
Heavy Artillery	7th New York	Petersburg	Barlow's	Second	55	Assault of June 17, 1864.
Heavy Artillery	1st Massachusetts	Petersburg	Birney's	Second	54	Assault of June 18, 1864.
Heavy Artillery	2d New York	Petersburg	Barlow's	Second	54	Assault of June 17, 1864.
Heavy Artillery	9th New York	Monocacy	Ricketts's	Sixth	51
Infantry	5th New York	Manassas	Sykes's	F. J. Porter's	117	This regiment appears again in this same list.
Infantry	15th New Jersey	Spotsylvania	Russell's	Sixth	116	Includes losses from May 8th to May 13th.
Infantry	49th Pennsylvania	Spotsylvania	Russell's	Sixth	109	Includes losses from May 8th to May 13th.
Infantry	15th Massachusetts	Antietam	Sedgwick's	Second	108	Includes a company of the “Andrew Sharpshooters,” which was permanently attached to this regiment.
Infantry	1st Kansas	Wilson's Creek	Lyon's		106
Infantry	1st Missouri	Wilson's Creek	Lyon's		103
Infantry	9th Illinois	Shiloh	W. H. Wallace's		103	This regiment appears again in this same list.
Infantry	18th U. S. Infantry	Stone's River	Rousseau's	Fourteenth	102	This regiment appears again in this same list.
Infantry	11th Illinois	Fort Donelson	McClernand's		102
