page	date	vessel	commander	battle	killed	wounded	missing	aggregate	note	cwsac_battle
538	Sept. 14 1861	Colorado	Russell	Pensacola	3	9		12		Pensacola, FL
538	Nov. 7 1861	Fleet	Dupont	Port Royal	8	23		31	Port Royal, SC
538	Nov. 7 1861	Tyler	Walke	Belmont	1	2		3		MO009	Belmont, MO
538	Feb. 2 1862	Essex	Porter (W. D.)	Fort Henry	7	20	5	32		TN001	Fort Henry, TN
538	Feb. 2 1862	Cincinnati	Stembel	Fort Henry	1	7		8		TN001	Fort Henry, TN
538	Feb. 8 1862	Fleet	Goldsborough	Roanoke Island	6	17		23		NC002	Roanoke Island, NC
538	Feb. 15 1862	St. Louis	Paulding	Fort Donelson	2	8		10		TN002	Fort Donelson, TN
538	Feb. 15 1862	Louisville	Dove	Fort Donelson	4	5		9		TN002	Fort Donelson, TN
538	Feb. 15 1862	Pittsburg	Thompson	Fort Donelson		2		2		TN002	Fort Donelson, TN
538	Feb. 15 1862	Carondelet	Walke	Fort Donelson	4	31		35		TN002	Fort Donelson, TN
538	Mch. 8 1862	Cumberland	Morris	Hampton Roads				121		VA008	Hampton Roads, VA
538	Mch. 8 1862	Congress	Smith	Hampton Roads				129		VA008	Hampton Roads, VA
538	Mch. 14 1862	Fleet	Rowan	New Berne	2	11		13		NC003	Hampton Roads, VA
538	April 24 1862	Fleet	Farragut	New Orleans	37	147		184		LA001	New Orleans, LA
538	April 24 1862	Iroquois	De Camp	New Orleans	8	24		32	Included, also in the loss of the fleet.	New Orleans, LA
538	April 24 1862	Richmond	Alden	New Orleans	2	4		6	Included, also in the loss of the fleet.	New Orleans, LA
538	April 24 1862	Winona	Nichols	New Orleans	3	5		8	Included, also in the loss of the fleet.	New Orleans, LA
538	April 24 1862	Pinola	Crosby	New Orleans	3	8		11	Included, also in the loss of the fleet.	New Orleans, LA
538	May 15 1862	Galena	Rodgers	Drewry's Bluff	13	11		24	VA012	Drewry's Bluff, VA
538	June 6 1862	Flotilla	Davis	Memphis		3		3		TN004	Memphis, TN
538	June 17 1862	Mound City	Kilty	White River				125		AR002	Fort Pillow, TN
538	June 28 1862	Fleet	Farragut	Vicksburg	15	30		45	MS011	Vicksburg, TN
538	July 15 1862	Carondelet	Walke	Vicksburg	4	10		14	Ram, Arkansas		Vicksburg, TN
538	July 15 1862	Tyler	Gwin	Vicksburg	8	16		24 Ram, Arkansas		Vicksburg, TN
538	July 15 1862	Hartford	Wainwright	Vicksburg	3	6		9	Ram, Arkansas		Vicksburg, TN
538	July 15 1862	Wissahickon	De Camp	Vicksburg	1	4		5	Ram, Arkansas		Vicksburg, TN
538	July 15 1862	Winona	Nichols	Vicksburg	1	2		3	Ram, Arkansas		Vicksburg, TN
538	July 15 1862	Sciota	Lowry	Vicksburg		2		2	Ram, Arkansas		Vicksburg, TN
538	July 15 1862	Richmond	Alden	Vicksburg		2		2	Ram, Arkansas		Vicksburg, TN
538	Oct. 3 1862	Commodore Perry	Flusser	Blackwater	2	11		13		Franlin, VA
538	Dec. 27 1862	Benton	Gwin	Drumgold's Bluff	2	8		10		Warren County, MS
538	Jan. 1 1863	Fleet	Renshaw	Galveston				150		TX003	Galveston, TX
538	Jan. 10 1863	Louisville	Owen	Arkansas Post	6	25		31	AR006	Arkansas Post, AR
538	Jan. 10 1863	De Kalb	Walker	Arkansas Post	AR006	Arkansas Post, AR
538	Jan. 11 1863	Hatteras	Blake	Alabama	2	5		7		Hatteras Islan, NC
538	Jan. 30 1863	Isaac Smith	Conover	John's Island	8	17		25		Johns Islan, SC
538	Feb. 24 1863	Indianola	Brown	New Carthage	1	1	7	9		New Carthage, LA
538	Mch. 14 1863	Hartford	Palmer	Port Hudson	1	2	1	4		Port Hudson, LA
538	Mch. 14 1863	Richmond	Alden	Port Hudson	3	12		15		Port Hudson, LA
538	Mch. 14 1863	Genesee	Macomb	Port Hudson		Port Hudson, LA
538	Mch. 14 1863	Monongahela	McKinstry	Port Hudson	6	21		27		Port Hudson, LA
538	Mch. 14 1863	Mississippi	Smith	Port Hudson	25	39		64	Includes some missing ones; the vessel was blown up.		Port Hudson, LA
539	Mch. 19 1863	Hartford	Palmer	Grand Gulf	2	6		8			Grand Gulf, MS
539	Mch. 19 1863	Albatross	Hart	Grand Gulf			Grand Gulf, MS
539	Mch. 11 1863	Chillicothe	Foster	Fort Pemberton	2	11		13	Fort Pemberton, SC
539	Mch. 16 1863	Chillicothe	Foster	Fort Pemberton	4	16		20	Fort Pemberton, SC
539	Mch. 16 1863	De Kalb	Walker	Fort Pemberton	3	3		6	Fort Pemberton, SC
539	April 16 1863	Fleet	Porter	Vicksburg		13		13	Vicksburg, MS
539	April 29 1863	Benton	Greer	Grand Gulf	9	19		28	MS004	Grand Gulf, MS
539	April 29 1863	Tuscumbia	Shirk	Grand Gulf	6	24		30	MS004	Grand Gulf, MS
539	April 29 1863	Pittsburg	Hoel	Grand Gulf	6	13		19	MS004	Grand Gulf, MS
539	April 29 1863	Lafayette	Walke	Grand Gulf		1		1	MS004	Grand Gulf, MS
539	May 4 1863	Albatross	Hart	Fort De Russy	2	4		6		Fort DeRussy, LA
539	May 27 1863	Cincinnati	Bache	Vicksburg	5	14	15	34	Sunk in action.	MS011	Vicksburg, MS
539	July 7 1863	Monongahela	Read	Mississippi	2	4		6
539	Sept. 7 1863	Clifton	Crocker	Sabine Pass	10	9		19		TX006	Sabine Pass, TX
539	Sept. 7 1863	Sachem	Johnson	Sabine Pass	7			7	Wounded not stated.	TX006	Sabine Pass, TX
539	Feb. 1 1864	Underwriter	Westervelt	Neuse River	9	20	19	48
539	April 26 1864	Cricket	Gorringe	Red River	12	19		31	More than half the crew.
539	April 26 1864	Hindman	Pearce	Red River	3	5		8
539	April 26 1864	Juliet	Shaw	Red River				15
539	May 13 1864	Covington	Lord	Red River				44
539	May 31 1864	Water Witch	Pendergrast	Ogeechee River	2	12		14	Ossabaw Sound, GA
539	June 19 1864	Kearsarge	Winslow	Cherbourg	1	2		3	Cherbourg, FRA
539	June 24 1864	Queen City	Goudy	White River	2	8		10		Clarendon, AR
539	June 24 1864	Tyler	Bache	White River	3	15		18		Clarendon, AR
539	June 24 1864	Naumkeag	Rogers	White River		Mobile Bay, AL
539	June 24 1864	Fawn	Grove	White River		Mobile Bay, AL
539	Aug. 5 1864	Hartford	Drayton	Mobile Bay	25	28		53		AL003	Mobile Bay, AL
539	Aug. 5 1864	Brooklyn	Alden	Mobile Bay	11	43		54		AL003	Mobile Bay, AL
539	Aug. 5 1864	Lackawanna	Marchand	Mobile Bay	4	35		39		AL003	Mobile Bay, AL
539	Aug. 5 1864	Oneida	Mullany	Mobile Bay	8	30		38		AL003	Mobile Bay, AL
539	Aug. 5 1864	Monongahela	Strong	Mobile Bay		6		6		AL003	Mobile Bay, AL
539	Aug. 5 1864	Metacomet	Jouett	Mobile Bay	1	2		3		AL003	Mobile Bay, AL
539	Aug. 5 1864	Ossipee	Le Roy	Mobile Bay	1	7		8		AL003	Mobile Bay, AL
539	Aug. 5 1864	Richmond	Jenkins	Mobile Bay		2		2		AL003	Mobile Bay, AL
539	Aug. 5 1864	Galena	Wells	Mobile Bay		1		1		AL003	Mobile Bay, AL
539	Aug. 5 1864	Octorara	Greene	Mobile Bay	1	10		11		AL003	Mobile Bay, AL
539	Aug. 5 1864	Kennebec	McCann	Mobile Bay	1	6		7		AL003	Mobile Bay, AL
539	Aug. 5 1864 1865	Tecumseh	Craven	Mobile Bay				79	Blown up by torpedoes.	AL003
539	Jan. 15 1865	Fleet	Porter	Fort Fisher	74	289	20	383	This loss occurred in the column of sailors who landed and made an assault in connection with that of the land forces.	NC015	Fort Fisher, NC
539	Mch. 29 1865	Osage	Gamble	Mobile Bay	3	8		11	Sunk by a torpedo.		Mobile Bay, AL
539	April-- 1865	Rodolph	Dyer	Mobile Bay	4	11		15	Sunk by a torpedo.		Mobile Bay, AL
539	April-- 1865	Launch		Mobile Bay	3			3	Sunk by a torpedo.		Mobile Bay, AL
539	April-- 1865	Althea	Boyle	Mobile Bay	2	2		4	Sunk by a torpedo.		Mobile Bay, AL
539	April-- 1865	Sciota	Magune	Mobile Bay	4	6		10	Sunk by a torpedo.		Mobile Bay, AL
539	April-- 1865	Ida	Kent	Mobile Bay	2	3		5	Sunk by a torpedo.		Mobile Bay, AL
