States.	Killed or mortally wounded.	Deaths from all other causes.	total deaths.	Troops furnished; three years standard.1	Per cent. of killed.	Per cent. of other deaths.	Per cent. of total deaths.
Maine	3,184	6,214	9,398	49,635	6.4	12.5	18.9
New Hampshire	1,903	2,979	4,882	29,150	6.5	10.2	16.7
Vermont	1,809	3,415	5,224	26,355	6.8	12.9	19.8
Massachusetts	6,115	7,827	13,942	98,803	6.2	7.9	14.1
Rhode Island	460	861	1,321	13,688	3.3	6.3	9.6
Connecticut	1,947	3,407	5,354	45,181	4.3	7.5	11.8
New York	19,085	27,449	46,534	334,784	5.7	8.1	13.8
New Jersey	2,578	3,176	5,754	44,398	5.8	7.1	12.9
Pennsylvania	15,265	17,918	33,183	214,427	7.1	8.3	15.4
Delaware	383	499	882	7,888	4.8	6.3	11.1
Maryland	909	2,073	2,982	24,954	3.6	8.3	11.9
West Virginia	1,247	2,770	4,017	27,518	4.5	10.0	14.5
Ohio	11,588	23,887	35,475	225,669	5.1	10.6	15.7
Kentucky	2,478	8,296	10,774	43,550	5.7	19.0	24.7
Indiana	7,243	19,429	26,672	150,177	4.8	12.9	17.7
Illinois	9,894	24,940	34,834	210,043	4.7	11.8	16.5
Missouri	3,317	10,568	13,885	78,035	4.2	13.5	17.7
Michigan	4,448	10,305	14,753	76,218	5.8	13.5	19.3
Wisconsin	3,802	8,499	12,301	73,865	5.1	11.5	16.6
Minnesota	626	1,958	2,584	18,554	3.4	10.5	13.9
Iowa	3,540	9,461	13,001	68,118	5.2	13.8	19.0
Kansas	737	1,893	2,630	16,624	4.4	11.4	15.8
District of Columbia	41	249	290	6,546	0.6	3.8	4.4
Colorado	153	170	323	3,697	4.1	4.6	8.7
California	108	465	573	15,725	0.7	2.9	3.6
New Mexico	73	204	277	4,432	1.6	4.6	6.2
Nebraska	35	204	239	2,175	1.6	9.3	10.9
Oregon	11	34	45	1,773	0.6	1.9	2.5
Nevada	2	31	33	1,080	0.1	2.9	3.0
Dakota	2	4	6	206	1.0	2.0	3.0
Washington Territory	 	22	22	964	 	2.2	2.2
Tennessee	744	6,033	6,777	26,394	2.8	22.8	25.6
Arkansas	305	1,408	1,713	7,836	3.9	17.9	21.8
Louisiana	214	731	945	4,654	4.6	15.7	20.3
Alabama	50	295	345	1,611	3.1	18.3	21.4
North Carolina	43	317	360	3,156	1.4	10.0	11.4
Florida	18	197	215	1,290	1.4	15.2	16.6
Texas	12	129	141	1,632	0.7	7.9	8.6
Mississippi	3	75	78	545	0.5	13.8	14.3
Virginia	10	32	42
Georgia	 	15	15
Indian Nations	107	911	1,018	3,530	3.0	25.8	28.8
Colored Troops	2,894	33,953	36,8472	178,975	1.6	18.9	20.5
Veteran Reserves3	27	1,645	1,672	 	 	2.7	2.7
Hancock's Corps4	1	105	106	 	 	0.9	0.9
United States Sharpshooters5	263	2896	552	 	10.2	11.2	21.4
United States Volunteer Infantry7	12	231	243	 	0.1	2.7	2.8
Generals and Staff	85	154	239
Miscellaneous, Bands, &c.	16	216	232
Regular Army8	2,283	3,515	5,798	 	3.4	5.2	8.6
Totals	110,070	249,458	359,528	2,143,855	5.1	11.6	16.7
