BattlefieldCode,BattleName,BattleType,CampaignCode,CampaignDates,CampaignName,Comment,EndDate,ID,Result,ShortSummary,ShortSummarySource,State,Summary,SummarySource,TheaterCode,TheaterName,TotalCasualties
AL001,Day's Gap,,MW63-03,April 1863,Streight's Raid: Tuscumbia Alabama Toward Rome Geo,,4/30/1863,733,Union Victory,"Union Col. Abel D. Streight led a provisional brigade on a raid to cut the Western & Atlantic Railroad that supplied Gen. Braxton Bragg’s Confederate army in Middle Tennessee. From Nashville, Tennessee, Streight’s command traveled to Eastport, Mississippi, and then proceeded east to Tuscumbia, Alabama, in conjunction with another Union force commanded by Brig. Gen. Grenville Dodge. On April 26, 1863, Streight’s men left Tuscumbia and marched southeast, their initial movements screened by Dodge’s troops.

On April 30, Confederate Brig. Gen. Nathan Bedford Forrest’s brigade caught up with Streight’s expedition and attacked its rearguard at Day’s Gap on Sand Mountain. The Federals repulsed this attack and continued their march to avoid further delay and envelopment. Thus began a running series of skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April 30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blount’s Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.",,AL,"Union Col. Abel D. Streight led a provisional brigade on a raid to cut the Western & Atlantic Railroad that supplied Gen. Braxton Bragg’s Confederate army in Middle Tennessee. From Nashville, Tennessee, Streight’s command traveled to Eastport, Mississippi, and then proceeded east to Tuscumbia, Alabama, in conjunction with another Union force commanded by Brig. Gen. Grenville Dodge. On April 26, 1863, Streight’s men left Tuscumbia and marched southeast, their initial movements screened by Dodge’s troops.

On April 30, Confederate Brig. Gen. Nathan Bedford Forrest’s brigade caught up with Streight’s expedition and attacked its rearguard at Day’s Gap on Sand Mountain. The Federals repulsed this attack and continued their march to avoid further delay and envelopment. Thus began a running series of skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April 30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blount’s Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.",,MW,Main Western Theater Minus the Gulf Approach,88
AL002,Athens,Attack,MW64-02,January 1864,Operations in North Alabama,,1/26/1864,734,Union Victory,"Confederate cavalry, numbering about 600 men, attacked Athens, held by about 100 Union troops, around 4:00 am on the morning of January 26, 1864. After a two-hour battle, the Confederates retreated. Union forces, although greatly outnumbered and without fortifications, repulsed the attackers.",,AL,"Confederate cavalry, numbering about 600 men, attacked Athens, held by about 100 Union troops, around 4:00 am on the morning of January 26, 1864. After a two-hour battle, the Confederates retreated. Union forces, although greatly outnumbered and without fortifications, repulsed the attackers.",,MW,Main Western Theater Minus the Gulf Approach,50
AL003,Mobile Bay,Engagement,MW64-09,August 1864,Burbridge's Raid into Southwest Virginia,,8/23/1864,735,Union Victory,"A combined Union force initiated operations to close Mobile Bay to blockade running. Some Union forces landed on Dauphin Island and laid siege to Fort Gaines. On August 5, Farragut’s Union fleet of eighteen ships entered Mobile Bay and received a devastating fire from Forts Gaines and Morgan and other points.  After passing the forts, Farragut forced the Confederate naval forces, under Adm. Franklin Buchanan, to surrender, which effectively closed Mobile Bay. By August 23, Fort Morgan, the last big holdout, fell, shutting down the port. The city, however, remained uncaptured.",,AL,"A combined Union force initiated operations to close Mobile Bay to blockade running. Some Union forces landed on Dauphin Island and laid siege to Fort Gaines. On August 5, Farragut’s Union fleet of eighteen ships entered Mobile Bay and received a devastating fire from Forts Gaines and Morgan and other points.  After passing the forts, Farragut forced the Confederate naval forces, under Adm. Franklin Buchanan, to surrender, which effectively closed Mobile Bay. By August 23, Fort Morgan, the last big holdout, fell, shutting down the port. The city, however, remained uncaptured.",,MW,Main Western Theater Minus the Gulf Approach,1827
AL004,Decatur,Demonstration,MW64-13,September-December 1864,Savannah Campaign,,10/29/1864,2764,Union Victory,"As Gen. John B. Hood began the Franklin-Nashville Campaign during the fall of 1864, his Army of Tennessee demonstrated against Decatur, Alabama, October 26-29, in an attempt to cross the Tennessee River. Union forces, under the command of Brig. Gen. Robert S. Granger for most of the battle, numbered only about 5,000 men, but successfully prevented the much larger Confederate force from crossing the river.", ,AL,"As Gen. John B. Hood began the Franklin-Nashville Campaign during the fall of 1864, his Army of Tennessee demonstrated against Decatur, Alabama, October 26-29, in an attempt to cross the Tennessee River. Union forces, under the command of Brig. Gen. Robert S. Granger for most of the battle, numbered only about 5,000 men, but successfully prevented the much larger Confederate force from crossing the river.",,MW,Main Western Theater Minus the Gulf Approach,355
AL005,Spanish Fort,Siege and Capture,MW65-02,March-April 1865,Mobile Campaign,,4/8/1865,737,Union Victory,"Maj. Gen. E.R.S. Canby’s XIII and XVI corps moved along the eastern shore of Mobile Bay forcing the Confederates back into their defenses. Union forces then concentrated on Spanish Fort and Fort Blakely. On March 27, 1865, Canby’s forces rendezvoused at Danley’s Ferry and immediately undertook a siege of Spanish Fort. The Union had enveloped the fort by April 1, and on April 8 captured it. Most of the Confederate forces, under the command of Brig. Gen. Randall L. Gibson, escaped and fled to Mobile, but Spanish Fort was no longer a threat.",,AL,"Maj. Gen. E.R.S. Canby’s XIII and XVI corps moved along the eastern shore of Mobile Bay forcing the Confederates back into their defenses. Union forces then concentrated on Spanish Fort and Fort Blakely. On March 27, 1865, Canby’s forces rendezvoused at Danley’s Ferry and immediately undertook a siege of Spanish Fort. The Union had enveloped the fort by April 1, and on April 8 captured it. Most of the Confederate forces, under the command of Brig. Gen. Randall L. Gibson, escaped and fled to Mobile, but Spanish Fort was no longer a threat.",,MW,Main Western Theater Minus the Gulf Approach,1398
AL006,Fort Blakely,Siege and Capture,MW65-02,March-April 1865,Mobile Campaign,,4/9/1865,738,Union Victory,"E.R.S. Canby’s forces, the XVI and XIII corps, moved along the eastern shore of Mobile Bay, forcing the Confederates back into their defenses. Union forces then concentrated on Spanish Fort and Fort Blakely. By April 1, Union forces had enveloped Spanish Fort, thereby releasing more troops to focus on Fort Blakely. Brig. Gen. St. John R. Liddell, with about 4,000 men, held out against the much larger Union force until Spanish Fort fell on April 8, allowing Canby to concentrate 16,000 men for the attack on April 9. Sheer numbers breached the Confederate earthworks compelling the Confederates to capitulate. The siege and capture of Fort Blakely was basically the last combined-force battle of the war. African-American forces played a major role in the successful Union assault.",,AL,"E.R.S. Canby’s forces, the XVI and XIII corps, moved along the eastern shore of Mobile Bay, forcing the Confederates back into their defenses. Union forces then concentrated on Spanish Fort and Fort Blakely. By April 1, Union forces had enveloped Spanish Fort, thereby releasing more troops to focus on Fort Blakely. Brig. Gen. St. John R. Liddell, with about 4,000 men, held out against the much larger Union force until Spanish Fort fell on April 8, allowing Canby to concentrate 16,000 men for the attack on April 9. Sheer numbers breached the Confederate earthworks compelling the Confederates to capitulate. The siege and capture of Fort Blakely was basically the last combined-force battle of the war. African-American forces played a major role in the successful Union assault.",,MW,Main Western Theater Minus the Gulf Approach,4475
AL007,Selma,Raid,MW65-03,April 1865,Wilson's Raid: Chickasaw Alabama and Macon Georgia,,4/2/1865,739,Union Victory,"Maj. Gen. James H. Wilson, commanding three divisions of Union cavalry, about 13,500 men, led his men south from Gravelly Springs, Alabama, on March 22, 1865. Opposed by Confederate Lt. Gen. Nathan B. Forrest, Wilson skillfully continued his march and eventually defeated him in a running battle at Ebenezer Church, on April 1. Continuing towards Selma, Wilson split his command into three columns. Although Selma was well-defended, the Union columns broke through the defenses at separate points forcing the Confederates to surrender the city, although many of the officers and men, including Forrest and Lt. Gen. Richard Taylor, escaped. Selma demonstrated that even Forrest, whom some had considered invincible, could not stop the unrelenting Union movements deep into the Southern Heartland.",,AL,"Maj. Gen. James H. Wilson, commanding three divisions of Union cavalry, about 13,500 men, led his men south from Gravelly Springs, Alabama, on March 22, 1865. Opposed by Confederate Lt. Gen. Nathan B. Forrest, Wilson skillfully continued his march and eventually defeated him in a running battle at Ebenezer Church, on April 1. Continuing towards Selma, Wilson split his command into three columns. Although Selma was well-defended, the Union columns broke through the defenses at separate points forcing the Confederates to surrender the city, although many of the officers and men, including Forrest and Lt. Gen. Richard Taylor, escaped. Selma demonstrated that even Forrest, whom some had considered invincible, could not stop the unrelenting Union movements deep into the Southern Heartland.",,MW,Main Western Theater Minus the Gulf Approach,3059
AL008,Ebeneezer Church,Raid,,,,,,984,Union Victory,,,AL,,,,,
AR001,Pea Ridge,Battle,TM62-02,March 1862,Pea Ridge Campaign,,3/8/1862,740,Union Victory,"On the night of March 6, Maj. Gen. Earl Van Dorn set out to outflank the Union position near Pea Ridge, dividing his army into two columns. Learning of Van Dorn’s approach, the Federals marched north to meet his advance on March 7. This movement—compounded by the killing of two generals, Brig. Gen. Ben McCulloch and Brig. Gen. James McQueen McIntosh, and the capture of their ranking colonel—halted the Rebel attack. Van Dorn led a second column to meet the Federals in the Elkhorn Tavern and Tanyard area. By nightfall, the Confederates controlled Elkhorn Tavern and Telegraph Road. The next day, Maj. Gen. Samuel R. Curtis, having regrouped and consolidated his army, counterattacked near the tavern and, by successfully employing his artillery, slowly forced the Rebels back. Running short of ammunition, Van Dorn abandoned the battlefield. The Union controlled Missouri for the next two years.",,AR,"On the night of March 6, Maj. Gen. Earl Van Dorn set out to outflank the Union position near Pea Ridge, dividing his army into two columns. Learning of Van Dorn’s approach, the Federals marched north to meet his advance on March 7. This movement—compounded by the killing of two generals, Brig. Gen. Ben McCulloch and Brig. Gen. James McQueen McIntosh, and the capture of their ranking colonel—halted the Rebel attack. Van Dorn led a second column to meet the Federals in the Elkhorn Tavern and Tanyard area. By nightfall, the Confederates controlled Elkhorn Tavern and Telegraph Road. The next day, Maj. Gen. Samuel R. Curtis, having regrouped and consolidated his army, counterattacked near the tavern and, by successfully employing his artillery, slowly forced the Rebels back. Running short of ammunition, Van Dorn abandoned the battlefield. The Union controlled Missouri for the next two years.",,TM,Trans-Mississippi Theater,3384
AR002,Saint Charles,Engagement,TM62-03,June 1862,Operations on White River,,6/17/1862,741,Union Victory,"On the morning of June 17, USS Mound City, St. Louis, Lexington, Conestoga, and transports proceeded up White River towards Saint Charles attempting to resupply Maj. Gen. Samuel R. Curtis’s army near Jacksonport. A few miles below Saint Charles, the 46th Indiana Infantry under the command of Col. Graham N. Fitch disembarked, formed a skirmish line, and proceeded upriver towards the Rebel batteries on Saint Charles bluffs, under the command of Capt. Joseph Fry, C.S.N. At the same time, the Union gunboats went upriver to engage the Rebel batteries; Mound City was hit and her steam drum exploded scalding most of the crew to death. More than 125 sailors from the Mound City were killed, but the other ship was towed to safety. Col. Fitch halted the gunboat activities to prevent further loss and then undertook an attack on the Confederate batteries with his infantry. He turned the Rebel flank which ended the firing from the batteries and left Saint Charles open to Federal occupation.",,AR,"On the morning of June 17, USS Mound City, St. Louis, Lexington, Conestoga, and transports proceeded up White River towards Saint Charles attempting to resupply Maj. Gen. Samuel R. Curtis’s army near Jacksonport. A few miles below Saint Charles, the 46th Indiana Infantry under the command of Col. Graham N. Fitch disembarked, formed a skirmish line, and proceeded upriver towards the Rebel batteries on Saint Charles bluffs, under the command of Capt. Joseph Fry, C.S.N. At the same time, the Union gunboats went upriver to engage the Rebel batteries; Mound City was hit and her steam drum exploded scalding most of the crew to death. More than 125 sailors from the Mound City were killed, but the other ship was towed to safety. Col. Fitch halted the gunboat activities to prevent further loss and then undertook an attack on the Confederate batteries with his infantry. He turned the Rebel flank which ended the firing from the batteries and left Saint Charles open to Federal occupation.",,TM,Trans-Mississippi Theater,200
