battle_id,event_type,state,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured,comment
1,Seizure,AL,Jan. 4: Seizure of Mt. Vernon Arsenal,1861-01-04,1861-01-04,By State Troops.,NA,NA,NA,NA,NA,NA
2,Seizure,AL,Jan. 5: Seizure of Forts Morgan and Gaines,1861-01-05,1861-01-05,By State Troops.,NA,NA,NA,NA,NA,NA
3,Adoption,AL,"Jan. 11: Adoption, at Montgomery, of Secession Ordinance.",1861-01-11,1861-01-11,NA,NA,NA,NA,NA,NA,NA
4,Expedition,AL,Feb. 6-10: Expedition to Florence,1862-02-06,1862-02-10,"U. S. Gunboats ""Conestoga,"" ""Lexington"" and ""Tyler.""",NA,NA,NA,NA,NA,NA
5,Occupation,AL,April 11: Occupation of Huntsville,1862-04-11,1862-04-11,INDIANA--5th Indpt. Battery Light Arty.; 37th Infantry. ILLINOIS--19th and 24th Infantry. OHIO--4th Cavalry; 18th Infantry.,NA,NA,NA,NA,NA,NA
6,Occupation,AL,April 16: Occupation of Decatur,1862-04-16,1862-04-16,ILLINOIS--24th Infantry.,NA,NA,NA,NA,NA,NA
7,Occupation,AL,April 16: Occupation of Tuscumbia,1862-04-16,1862-04-16,ILLINOIS--19th Infantry.,NA,NA,NA,NA,NA,NA
8,Skirmish,AL,"April 23: Skirmish, Bridgeport",1862-04-23,1862-04-23,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
9,Action,AL,"April 24: Action, Tuscumbia",1862-04-24,1862-04-24,ILLINOIS--19th Infantry.,NA,NA,NA,NA,NA,NA
10,Skirmish,AL,"April 25: Skirmish, Tuscumbia",1862-04-25,1862-04-25,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
11,Skirmish,AL,"April 27: Skirmish, Bridgeport",1862-04-27,1862-04-27,OHIO--3d Infantry.,NA,NA,NA,NA,NA,NA
12,Skirmish,AL,"April 28: Skirmish, Bolivar",1862-04-28,1862-04-28,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
13,Skirmish,AL,"April 28: Skirmish, Paint Rock Bridge",1862-04-28,1862-04-28,"WISCONSIN--10th Infantry (Detachment). Loss, 7 killed.",NA,7,NA,NA,NA,NA
14,Action,AL,"April 29: Action, West Bridge, near Bridgeport",1862-04-29,1862-04-29,"INDIANA--42d Infantry. OHIO--4th Cavalry; Battery ""E,"" 1st Light Arty.; 2d, 3d and 10th Infantry.",NA,NA,NA,NA,NA,NA
